category_name,cnt
Выпечка сытная,1484136
Выпечка сладкая,435236
Фастфуд,332476
Хлеб,312284
Прочие товары,257688
Напитки горячие,243027
Пироги сладкие,202163
Кулинария сеть,182924
Пирожные,171854
Пироги сытные,114923
Напитки холодные,68567
Соки Морсы,45665
Маффин Печенье Донатс,35759
Напитки Курск,8462
Блюда ФК,7288
Заказная продукция,2256
Классические,1059
Полуфабрикаты КУРСК,369
Салаты Т,211
Мороженое,207
Чай,173
Бабл ти 375,59
Лимонады,55
Допы,52
Торты Рулеты,38
Сезонные,31
Кулинария сеть Тарнопольский/Торговый дом салатов,29
Авторские,25
Бабл ти 650,25
Кулинария гарниры,13
Полуфабрикаты,3
"Кулинария салаты, супы",2
Блюда Т,2
Пироги ЗАКАЗ,1
