feedback_source,status,raw_product_name,comment
partner_feedback_2026_06_18,discontinued,Пирожок капуста курица,Партнер сообщил: позиция выведена
partner_feedback_2026_06_18,discontinued,Ватрушка в ассортименте,Партнер сообщил: позиция выведена; проверить формулировку
partner_feedback_2026_06_18,discontinued,Пирожок/Булочка с яблоками (тесто ночное),Партнер сообщил: позиция выведена
partner_feedback_2026_06_18,discontinued,Булочка с вишней (тесто ночное),Партнер сообщил: позиция выведена
partner_feedback_2026_06_18,discontinued,Вишневый,Партнер сообщил: позиция выведена
partner_feedback_2026_06_18,discontinued,Мандариновый пай,Партнер сообщил: позиция выведена
partner_feedback_2026_06_18,missing_baking_plan,Жар пиццы с салями,Партнер сообщил: позиции нет в шаблонах/нет плана
partner_feedback_2026_06_18,missing_baking_plan,Маковка,Партнер сообщил: позиции нет в шаблонах/нет плана
partner_feedback_2026_06_18,missing_baking_plan,Сметанник маковый,Партнер сообщил: позиции нет в шаблонах/нет плана
partner_feedback_2026_06_18,missing_baking_plan,Киш грибы курица,Партнер сообщил: позиции нет в шаблонах/нет плана
partner_feedback_2026_06_18,missing_baking_plan,Пирожок зеленый лук,Партнер сообщил: позиции нет в шаблонах/нет плана
partner_feedback_2026_06_18,missing_baking_plan,Корзинка ягодная,Партнер сообщил: позиции нет в шаблонах/нет плана
partner_feedback_2026_06_18,missing_baking_plan,Пирог Ягодный,Партнер сообщил: позиции нет в шаблонах/нет плана
partner_feedback_2026_06_18,missing_baking_plan,Пирог с манго,Партнер сообщил: позиции нет в шаблонах/нет плана
partner_feedback_2026_06_18,missing_baking_plan,Пирог с черносливом и грецким орехом,Партнер сообщил: позиции нет в шаблонах/нет плана
partner_feedback_2026_06_18,missing_baking_plan,Жар киш грибы и курица,Партнер сообщил: позиции нет в шаблонах/нет плана
partner_feedback_2026_06_18,missing_baking_plan,Сэндвич мюнхенский,Партнер сообщил: позиции нет в шаблонах/нет плана; нормализована опечатка из сообщения
partner_feedback_2026_06_18,missing_baking_plan,Московская плюшка,Партнер сообщил: позиции нет в шаблонах/нет плана
