template_file,bakery_id,decision,notes
План выпекания Баки 9.xlsx,000000184,use,Баки Урманче 9
План выпекания Горковское шоссе.xlsx,000000219,use,Горьковское шоссе 2Ак1
План выпекания Кулагина_Х. Такташ 73.xlsx,000000016,use,Общий шаблон; Кулагина 4
План выпекания Кулагина_Х. Такташ 73.xlsx,000000019,use,Общий шаблон; Хади Такташ 73
План выпекания Лаврентьева_Адоратского.xlsx,000000051,use,Общий шаблон; Лаврентьева 9
План выпекания Лаврентьева_Адоратского.xlsx,000000050,use,Общий шаблон; Адоратского 31Б
План выпекания пекарь универсал Сокуры Державина9Б.xlsx,000000169,use,Державина 9б Сокуры
План выпекания пекарь универсал — ночь 18.00-3.00 Чуйкова.xlsx,,hold,Ночной частный сценарий; не подключать и не изменять до согласования с партнерами
План выпекания пекарь универсал — ночь 18.00-7.00 Дек 8.xlsx,000000045,hold,Ночной частный сценарий; не подключать и не изменять до согласования с партнерами
План выпекания пр. Победы 18.xlsx,000000024,use,Проспект Победы 18Б
