market_scope,category,product_name,is_required,is_top,top_rank,source_note
kazan_zelenodolsk_zakamye,Выпечка сладкая,Сочень,1,1,1,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Выпечка сладкая,Сметанник мини,1,1,2,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Выпечка сладкая,Пирожок яблоко,1,1,3,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Выпечка сладкая,Губадия мини,1,1,4,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Выпечка сладкая,Шафран творог,1,1,5,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Выпечка сладкая,Ватрушка,1,1,6,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Выпечка сладкая,Маковка,1,1,7,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Выпечка сладкая,Корзинка ягодная,1,1,8,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Выпечка сладкая,Трубочка со сгущенкой П,1,1,9,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Выпечка сладкая,Круассан с шоколадом,1,1,10,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Выпечка сладкая,Круассан с малиной,1,0,,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Выпечка сладкая,Круассан миндальный,1,0,,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Выпечка сытная,Треугольник курица безд,1,1,1,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Выпечка сытная,Кыстыбый П,1,1,2,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Выпечка сытная,Треугольник говядина безд,1,1,3,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Выпечка сытная,Сосиска в тесте,1,1,4,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Выпечка сытная,Беккен капуста,1,1,5,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Выпечка сытная,Пицца с колбасой,1,1,6,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Выпечка сытная,Сосиска под шубой,1,1,7,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Выпечка сытная,Элеш с курицей,1,1,8,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Выпечка сытная,Треугольник острый,1,1,9,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Выпечка сытная,Жар пицца с курицей,1,1,10,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Выпечка сытная,Вак-бэлиш,1,0,,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Выпечка сытная,Пирожок зеленый лук,1,0,,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Выпечка сытная,Конвертик курица,1,0,,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Выпечка сытная,Киш курица,1,0,,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Выпечка сытная,Пирожок с горбушей,1,0,,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Выпечка сытная,Киш грибы курица,1,0,,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Кондитерка,Пирожное Каприз,1,1,1,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Кондитерка,Кейк-попс,1,1,2,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Кондитерка,Рожок с кремом,1,1,3,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Кондитерка,Эклер сливочный,1,1,4,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Кондитерка,Картошка ассорти,1,1,5,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Кондитерка,Пончик Малина,1,1,6,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Кондитерка,Графские развалины,1,1,7,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Кондитерка,Эклер классический,1,1,8,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Кондитерка,Пончик Шоколад,1,1,9,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Кондитерка,Тарталетка Малиновая ЦП,1,1,10,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Кондитерка,Эклер Шоколадный посыпка,1,0,,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Кондитерка,Печенье Имбирное,1,0,,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Кондитерка,Пончик Белый шоколад,1,0,,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Кондитерка,Чизкейк брауни,1,0,,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Кондитерка,Пирожное со сливками,1,0,,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Кондитерка,Печенье Праздничное имбирное,1,0,,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Кондитерка,Пирожное Малина,1,0,,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Кондитерка,Чизкейк классический,1,0,,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Кондитерка,Малиновое сердце,1,0,,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Кондитерка,Пирожное Медовик,1,0,,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Кондитерка,Пирожное Шоколадно-карамельное,1,0,,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Кондитерка,Печенье Подарочное,1,0,,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Кондитерка,Печенье Детское 250,1,0,,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Кондитерка,Кукис Орео ЦП,1,0,,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Кондитерка,Кукис красный вельвет ЦП,1,0,,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Кондитерка,Кукис Лимонный ЦП,1,0,,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Кондитерка,Кукис Малиновый ЦП,1,0,,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Кондитерка,Торт Меренговый с вишней,1,0,,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Кондитерка,Меренговый с вишней,1,0,,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Кондитерка,Торт Меренговый с абрикосом,1,0,,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Кондитерка,Меренговый с абрикосом,1,0,,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Кондитерка,Кольцо творог,1,0,,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Пироги сладкие,Сметанник,1,1,1,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Пироги сладкие,Трехслойник НОВЫЙ,1,1,2,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Пироги сладкие,Яблочный,1,1,3,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Пироги сладкие,Королевская ватрушка,1,0,,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Пироги сладкие,Губадия,1,0,,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Пироги сладкие,Клубника и банан НОВЫЙ,1,0,,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Пироги сладкие,Пирог с черносливом и грец орехом,1,0,,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Пироги сладкие,Клубника и банан,1,0,,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Пироги сладкие,Пирог с Манго,1,0,,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Пироги сладкие,Сметанник маковый,1,0,,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Пироги сытные,Капустный,1,1,1,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Пироги сытные,Жар Киш курица,1,1,2,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Пироги сытные,Капуста и курица,1,1,3,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Пироги сытные,Горбуша саго,1,0,,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Пироги сытные,Капуста и мясо,1,0,,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Пироги сытные,Пирог Ханский,1,0,,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Пироги сытные,Жар Киш грибы курица,1,0,,OCR screenshots 2026-05-15
kazan_zelenodolsk_zakamye,Пироги сытные,Жар Киш зел лук,1,0,,OCR screenshots 2026-05-15
cheboksary,Выпечка сладкая,Сочень,1,1,1,OCR screenshots 2026-05-15
cheboksary,Выпечка сладкая,Сметанник мини,1,1,2,OCR screenshots 2026-05-15
cheboksary,Выпечка сладкая,Пирожок яблоко,1,1,3,OCR screenshots 2026-05-15
cheboksary,Выпечка сладкая,Губадия мини,1,1,4,OCR screenshots 2026-05-15
cheboksary,Выпечка сладкая,Шафран творог,1,1,5,OCR screenshots 2026-05-15
cheboksary,Выпечка сладкая,Ватрушка,1,1,6,OCR screenshots 2026-05-15
cheboksary,Выпечка сладкая,Маковка,1,1,7,OCR screenshots 2026-05-15
cheboksary,Выпечка сладкая,Корзинка ягодная,1,1,8,OCR screenshots 2026-05-15
cheboksary,Выпечка сладкая,Трубочка со сгущенкой П,1,1,9,OCR screenshots 2026-05-15
cheboksary,Выпечка сладкая,Круассан с шоколадом,1,1,10,OCR screenshots 2026-05-15
cheboksary,Выпечка сладкая,Круассан с малиной,1,0,,OCR screenshots 2026-05-15
cheboksary,Выпечка сладкая,Круассан миндальный,1,0,,OCR screenshots 2026-05-15
cheboksary,Выпечка сытная,Треугольник курица безд,1,1,1,OCR screenshots 2026-05-15
cheboksary,Выпечка сытная,Хуплу,1,1,2,OCR screenshots 2026-05-15
