N;Время;Продукция;Количество;Розничная цена;Сумма
1;7:00:00;Беккен капуста;20,000;;
2;7:00:00;Губадия мини;20,000;;
3;7:00:00;Киш курица;10,000;;
4;7:00:00;Тарталетка сытный;15,000;;
5;7:00:00;Сосиска в тесте;40,000;;
6;7:00:00;Сочень;20,000;;
7;7:00:00;Треугольник говядина безд;40,000;;
8;7:00:00;Треугольник курица безд;80,000;;
9;7:00:00;Элеш с курицей;20,000;;
10;7:00:00;Губадия;2,000;;
11;7:00:00;Жар Киш курица;2,000;;
12;7:00:00;Капустный;2,000;;
13;7:00:00;Капуста и курица;1,000;;
14;7:00:00;Клубника и банан НОВЫЙ;2,000;;
15;7:00:00;Королевская ватрушка;2,000;;
16;7:00:00;Капуста и мясо;2,000;;
17;7:00:00;Вишневый;;;
18;7:00:00;Сметанник;5,000;;
19;7:00:00;Трехслойник НОВЫЙ;2,000;;
20;7:00:00;Яблочный;2,000;;
21;9:00:00;Салат Наслаждение вес сеть;1,000;;
22;10:00:00;ЖарПицца Оригинальная;20,000;;
23;10:00:00;ЖарПицца Пикантная;20,000;;
24;10:00:00;Хот-дог Баварский говяжий;;;
25;10:00:00;Хот-дог Баварский куриный;;;
26;10:00:00;Хот-дог Датский говяжий;;;
27;10:00:00;Хот-дог Датский куриный;;;
28;10:00:00;Сэндвич курица;;;
29;10:00:00;Корзинка Восточная;5,000;;
30;10:00:00;Корзинка ягодная;10,000;;
31;10:00:00;Пирожок Ризотто;10,000;;
32;10:00:00;Киш грибы курица;20,000;;
33;10:00:00;Киш сырный;10,000;;
34;10:00:00;Кыстыбый П;90,000;;
35;10:00:00;Пирожок зеленый лук;10,000;;
36;10:00:00;Киш курица;10,000;;
37;10:00:00;Жар Киш грибы курица;2,000;;
38;10:00:00;Жар Киш зел лук;2,000;;
39;10:00:00;Ватрушка;5,000;;
40;10:00:00;Пирожок яблоко;15,000;;
41;10:00:00;Сметанник мини;20,000;;
42;10:00:00;Вак-бэлиш;10,000;;
43;10:00:00;Пицца с колбасой;50,000;;
44;10:00:00;Жар пицца с курицей;50,000;;
45;10:00:00;Сосиска под шубой;50,000;;
46;10:00:00;Ягодный;1,000;;
47;10:00:00;Вишневый Пай;1,000;;
48;10:00:00;Пирог с черносливом и грец орехом;1,000;;
49;10:00:00;Треугольник острый;20,000;;
50;10:00:00;Шафран творог;10,000;;
51;10:00:00;Багет чесночный;10,000;;
52;10:00:00;Московская плюшка П;10,000;;
53;10:00:00;Пирожок с горбушей;10,000;;
54;10:00:00;Горбуша саго;1,000;;
55;10:00:00;Пирог Ханский;1,000;;
56;10:00:00;Капустный постный;1,000;;
57;10:00:00;Яблочный постный;1,000;;
;;;;;63 695,00
