Ассортимент пекарни с режимом работы пекаря с 4.00-16.00 Выручка от 3 млн;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Стол;Наименование;4:00-7:00;7:00-8:00;8:00-9:00;9:00-10:00;10:00-11:00;11:00-12:00;12:00-13:00;13:00-14:00;14:00-15:00;15:00-16:00;;;;;
;;;;;;;;;;;;;;;;
;;4:00-7:00;7:00-8:00;8:00-9:00;9:00-10:00;10:00-11:00;11:00-12:00;12:00-13:00;13:00-14:00;14:00-15:00;15:00-16:00;4:00-7:00;8:00-10:00;10:00-12:00;12:00-15.00;
;;;;;;;;;;;;;;;;
Пекарь Стол 1;Треугольник курица  (тесто ночного брожжения);40;;;;;20;;20;;20;Включить вытяжку;Поставить меситься тесто сдобное на заварке;Поставить тесто кефирное;Замесить тесто на треугольники (с учетом остатка для холодильника);
Пекарь Стол 1;Треугольник говядина (тесто ночного брожжения);20;;;;;20;;20;;20;Включить печь;Поделить тесто на заготовки пироги, пирожки, багет;Собрать начинку на треугольники;Собрать начинки на треугольники;
Пекарь Стол 1;Треугольник острый (тесто ночного брожжения);;20;;;;;;;;;Включить расстойку, налить воды;Собрать начинки на пирожок горбуша, капуста курица, ватрушку;Сформовать треугольники;Сформовать треугольники и поставить выпекать;
Пекарь Стол 1;Хуплу Чебоксары;20;;;20;;20;;20;;;;;;;
Пекарь Стол 1;Вак-бэлиш (ночная дефростация);20;;;;;;;;20 (ночная дефр);;Достать всю ночную дефростацию, стоит в условиях цеха 20 минут;Сформовать пирожки, багет убрать в расстойку;Поставить песочное тесто;Поставить меситься тесто сдобное на заварке;
Пекарь Стол 1;Жар пицца с курицей (ночная дефростация);;20;;;;20;;;;10 (ночная дефр);Достать все ночное тесто (покрыть пленкой);Собрать начинку на пирог Капустный;Поделить тесто на киши;Поделить тесто на сосиски в тесте;
Пекарь Стол 1;Пицца с колбасой (ночная дефростация);10;;;;;20;;10;;10 (ночная дефр);;;;;
Пекарь Стол 1;Пирожок с горбушей;;;20;;;;;;;;Собрать начинку на королевскую ватрушку и поставить печь;Сформовать пирог, убрать в расстойку;Собрать начинку на киши, сформовать, постаавить выпекаться;Поделить тесто на пироги;
Пекарь Стол 1;Пирожок капуста курица;;;20;;;;;;;;Собрать начинку на треугольники сформовать и поставить печь;Собрать начинку на пирог Капуста мясо;Поставить тесто сдобное 4,050 кг муки;Сформовать сосиски в тесте, убрать в расстойку;
Пекарь Стол 1;Конвертик с курицей;;;10;;;;10;;;;Собрать начинку на киши сформовать и поставить печь;Собрать начинку на конвертик;;;
Пекарь Стол 1;Сосиска в тесте (ночная дефростация);30;;;;;20;;;;15 (ночная дефр);Паралельно поставить изделия в расстойку и выпекать;Сформовать пирог, убрать в расстойку;Поделить тесто на сосиски в тесте;Собрать начинку на пирог Капустный;
Пекарь Стол 1;Шафран творог (ночная дефростация);;;20;;;;;;;;Собрать начинку на королевскую ватрушку и поставить печь;Собрать начинку на пирог Капуста курица;Поделить тесто на пирожки, багет;Сформовать пирог, убрать в расстойку;
Пекарь Стол 1;Сочень;;;;;;;;;;30;;Сформовать пирог, убрать в расстойку;Сформовать сосиски в тесте, убрать в расстойку;Собрать начинку на пирог Капуста мясо;
Пекарь Стол 1;Ватрушка в ассортменте;15;;;;;;;;;;;Собрать начинку на пирог Горбуша саго;Собрать начинку  на вак балиш, пиццу;Сформовать пирог, убрать в расстойку;
Пекарь Стол 1;Пирог Капустный ;2;;;;;;;;;2;;Сформовать пирог, убрать в расстойку;Сформовать вак балиш, убрать в расстойку;Собрать начинку на пирог Капуста курица;
Пекарь Стол 1;Пирог Капуста мясо;2;;;;;;;;;2;;Паралельно поставить изделия в расстойку и выпекать;Сформовать пиццу, убраать в расстойку;Сформовать пирог, убрать в расстойку;
Пекарь Стол 1;Пирог Капуста курица;2;;;;;;;;;2;;;Собрать начинку на шафран творог;Собрать начинку на пирог Горбуша саго;
Пекарь Стол 1;Пирог Горбуша саго;;;2;;;;;;;1;;;Сформовать шафран творог , убрать в расстойку;Сформовать пирог, убрать в расстойку;
Пекарь Стол 1;Пирог Хуплу Чебоксары;;;2;;;;;;;2;;;;;
Пекарь Стол 1;Пирог Картофель мсо Чебоксары;;;2;;;;;;;2;;;;;
Пекарь Стол 1;Королевская ватрушка;3;;;;;;2;;;;;;Собрать начинку на королевскую ватрушку и поставить печь;Паралельно поставить изделия в расстойку и выпекать;
Пекарь Стол 1;Жар киш с курицей (тесто ночного брожжения);;;4;;;;4;;;;;;Паралельно поставить изделия в расстойку и выпекать;Часть продукции убрать на ночное хранение в холодильник;
Пекарь Стол 1;Багет чесночный;;;10;;;;;;;;;;;Поставить тесто на сочни;
Пекарь Стол 1;Печенье Детское;;;;;;;;;;10;;;;Собрать начинку на сочни;
Пекарь Стол 2;Элеш (тесто ночного брожжения);20;;;;;20;;;;10;;;;Сформовать сочни , поставить выпекать;
Пекарь Стол 2;Беккен капуста;;20;;;;20;;;;;;;;Поставить меситься печенье;
Пекарь Стол 2;Сосиска под шубой (ночная дефростация);20;;;20;;20;;;20;20 (ночн дефр);;;;Сформовать печенье, поставить выпекать;
