Стол;Наименование;4:00-7:00;7:00-8:00;8:00-9:00;9:00-10:00;10:00-11:00;11:00-12:00;12:00-13:00;13:00-14:00;14:00-15:00;15:00-16:00
;;;;;;;;;;;
;;4:00-7:00;7:00-8:00;8:00-9:00;9:00-10:00;10:00-11:00;11:00-12:00;12:00-13:00;13:00-14:00;14:00-15:00;15:00-16:00
Пекарь Стол 1;Треугольник курица  (тесто ночного брожжения);20;;;;;;20;;;
Пекарь Стол 1;Треугольник говядина (тесто ночного брожжения);20;;;;;;;;;
Пекарь Стол 1;Треугольник острый (тесто ночного брожжения);20;;;;;;;;;
Пекарь Стол 1;Хуплу Чебоксары;;;;;;10;;;;
Пекарь Стол 1;Вак-бэлиш (ночная дефростация);10;;;;;;;;20 (ночная дефр);
Пекарь Стол 1;Жар пицца с курицей (ночная дефростация);10;;;;;;;;;10 (ночная дефр)
Пекарь Стол 1;Пицца с колбасой (ночная дефростация);10;;;;;10;;;;10 (ночная дефр)
Пекарь Стол 1;Пирожок с горбушей;;;10;;;;;;;
Пекарь Стол 1;Пирожок капуста курица;;;10;;;;;;;
Пекарь Стол 1;Конвертик с курицей;;;10;;;;;;;
Пекарь Стол 1;Сосиска в тесте (ночная дефростация);10;;;;;10;;;;10 (ночная дефр)
Пекарь Стол 1;Шафран творог (ночная дефростация);;;10;;;;;;;
Пекарь Стол 1;Сочень;;;;;;;;;;30
Пекарь Стол 1;Ватрушка в ассортменте;;;6;;;;;;;
Пекарь Стол 1;Пирог Капустный ;;;2;;;;;;;1
Пекарь Стол 1;Пирог Капуста мясо;;;2;;;;;;;1
Пекарь Стол 1;Пирог Капуста курица;;;2;;;;;;;1
Пекарь Стол 1;Пирог Горбуша саго;;;1;;;;;;;1
Пекарь Стол 1;Пирог Хуплу Чебоксары;;;2;;;;;;;1
Пекарь Стол 1;Пирог Картофель мсо Чебоксары;;;2;;;;;;;1
Пекарь Стол 1;Королевская ватрушка;2;;;;;;;;;
Пекарь Стол 1;Жар киш с курицей (тесто ночного брожжения);2;;;;;;;;;2
Пекарь Стол 1;Багет чесночный;;;4;;;;;;;
Пекарь Стол 1;Печенье Детское;;;;;;;;;;10
Пекарь Стол 2;Элеш (тесто ночного брожжения);10;;;;;;;;;10
Пекарь Стол 2;Беккен капуста;10;;;;;10;;;;
Пекарь Стол 2;Сосиска под шубой (ночная дефростация);10;;;;;10;;;;
Пекарь Стол 2;Пирожок/Булочка с яблоками (тесто ночное);10;;;;;10;;;;
Пекарь Стол 2;Булочка с вишней (тесто ночное);;;10;;;;;;;
Пекарь Стол 2;Сметанник мини (тесто ночного брожжения);10;;;;;;;;;
Пекарь Стол 2;Губадия мини;;;;;;;;;;20
Пекарь Стол 2;Киш с курицей (тесто ночного брожжения);;;10;;;;;;;
Пекарь Стол 2;Трехслойник;;;;;;;;;;2
Пекарь Стол 2;Клубника банан;;;;;;;;;;2
Пекарь Стол 2;Вишневый;;;;;;;;;;2
Пекарь Стол 2;Мандариновый пай;;;1;;;;;;;
Пекарь Стол 2;Яблочный;2;;;;;;;;;
Пекарь Стол 2;Ханский (тесто ночного брожжения);;;1;;;;;;;
Пекарь Стол 2;Балиш с говядиной (тесто ночного брожжения);;;1;;;;;;;
Пекарь Стол 2;Сметанник (тесто ночного брожжения);4;;;;;;;;;2
Пекарь Стол 2;Губадия;;;;;;;;;;1
Помощник пекаря;Сэндвич курица;6;;;;;6;;;;
Помощник пекаря;Жар Пицца Пикантная;6;;;;;6;;;;
Помощник пекаря;Жар Пицца Оригинальная;6;;;;;6;;;;
Помощник пекаря;Кыстыбый;15;;;;;15;;;;
Помощник пекаря;Бейгл курица;5;;;;;;;;;
