cutoff,variant,scope,delta,under,over
cutoff_20260621,demand_adjusted_membership_seed_0.02,all_holdout,-3.7760650632101544e-05,-3.3618141677361564,-3.3618141677361564
cutoff_20260621,demand_adjusted_membership_seed_0.02,clean_bakery_days,0.0,0.0,0.0
cutoff_20260621,demand_adjusted_membership_seed_0.02,clean_sku_days,-6.226301001299728e-05,-3.2732424197383807,-7.459725167653232
cutoff_20260621,demand_adjusted_membership_seed_0.02,adjusted_pairs_clean_sku_days,-2.8417259063329148e-05,-3.2806565824885183,2.0543950193878118
cutoff_20260621,demand_adjusted_membership_seed_0.02,stable_routing_clean_sku_days,-6.229354008113752e-05,-3.2732424197311047,-7.459725167653232
cutoff_20260621,demand_adjusted_membership_seed_0.02,new_exact_routing_clean_sku_days,0.0,0.0,0.0
cutoff_20260621,demand_adjusted_membership_seed_0.02,stable_tier1_membership_clean_sku_days,0.0,0.0,0.0
cutoff_20260621,demand_adjusted_membership_seed_0.02,new_tier1_member_clean_sku_days,-0.021457073590875675,-12.502332138173188,-16.688814886091905
cutoff_20260621,demand_adjusted_membership_seed_0.05,all_holdout,-7.945656184171757e-05,-7.073982859066746,-7.073982859066746
cutoff_20260621,demand_adjusted_membership_seed_0.05,clean_bakery_days,0.0,0.0,0.0
cutoff_20260621,demand_adjusted_membership_seed_0.05,clean_sku_days,-0.00013720330310862394,-6.853555033274461,-16.797704435899504
cutoff_20260621,demand_adjusted_membership_seed_0.05,adjusted_pairs_clean_sku_days,-1.9334148166572085e-05,-6.872013810158023,6.037706648474341
cutoff_20260621,demand_adjusted_membership_seed_0.05,stable_routing_clean_sku_days,-0.00013727057942880538,-6.853555033274461,-16.797704435899504
cutoff_20260621,demand_adjusted_membership_seed_0.05,new_exact_routing_clean_sku_days,0.0,0.0,0.0
cutoff_20260621,demand_adjusted_membership_seed_0.05,stable_tier1_membership_clean_sku_days,0.0,0.0,0.0
cutoff_20260621,demand_adjusted_membership_seed_0.05,new_tier1_member_clean_sku_days,-0.047295910932120266,-27.199644424758844,-37.143793827377976
cutoff_20260621,demand_adjusted_membership_seed_0.1,all_holdout,-0.00014022213005460138,-12.483914751363045,-12.483914751363045
cutoff_20260621,demand_adjusted_membership_seed_0.1,clean_bakery_days,0.0,0.0,0.0
cutoff_20260621,demand_adjusted_membership_seed_0.1,clean_sku_days,-0.0002464544154137105,-12.046358718718693,-30.437730178593483
cutoff_20260621,demand_adjusted_membership_seed_0.1,adjusted_pairs_clean_sku_days,8.931787602861618e-06,-12.083023635952486,12.46844813459029
cutoff_20260621,demand_adjusted_membership_seed_0.1,stable_routing_clean_sku_days,-0.0002465752619661421,-12.046358718711417,-30.437730178586207
cutoff_20260621,demand_adjusted_membership_seed_0.1,new_exact_routing_clean_sku_days,0.0,0.0,0.0
cutoff_20260621,demand_adjusted_membership_seed_0.1,stable_tier1_membership_clean_sku_days,0.0,0.0,0.0
cutoff_20260621,demand_adjusted_membership_seed_0.1,new_tier1_member_clean_sku_days,-0.08271459749344845,-47.06860320625492,-65.45997466612175
cutoff_20260621,demand_adjusted_membership_seed_0.2,all_holdout,-0.00018505118520217856,-16.47502587360941,-16.47502587360941
cutoff_20260621,demand_adjusted_membership_seed_0.2,clean_bakery_days,0.0,0.0,0.0
cutoff_20260621,demand_adjusted_membership_seed_0.2,clean_sku_days,-0.00036738674730962817,-15.612828212440945,-47.717711864090234
cutoff_20260621,demand_adjusted_membership_seed_0.2,adjusted_pairs_clean_sku_days,0.00030674293921795215,-15.854378141400957,29.090949454532165
cutoff_20260621,demand_adjusted_membership_seed_0.2,stable_routing_clean_sku_days,-0.0003675668918680097,-15.612828212440945,-47.71771186409751
cutoff_20260621,demand_adjusted_membership_seed_0.2,new_exact_routing_clean_sku_days,0.0,0.0,0.0
cutoff_20260621,demand_adjusted_membership_seed_0.2,stable_tier1_membership_clean_sku_days,0.0,0.0,0.0
cutoff_20260621,demand_adjusted_membership_seed_0.2,new_tier1_member_clean_sku_days,-0.13055114401469403,-72.75131845813792,-104.85620210978857
cutoff_20260621,demand_adjusted_membership_seed_0.25,all_holdout,-0.00018732703203627743,-16.677643519287813,-16.677643519287813
cutoff_20260621,demand_adjusted_membership_seed_0.25,clean_bakery_days,0.0,0.0,0.0
cutoff_20260621,demand_adjusted_membership_seed_0.25,clean_sku_days,-0.0004003165510625406,-15.60779537037888,-53.399221257255704
cutoff_20260621,demand_adjusted_membership_seed_0.25,adjusted_pairs_clean_sku_days,0.00047083531374703114,-16.849992264727916,37.16747772353665
cutoff_20260621,demand_adjusted_membership_seed_0.25,stable_routing_clean_sku_days,-0.00040051284243347585,-15.607795370371605,-53.39922125724843
cutoff_20260621,demand_adjusted_membership_seed_0.25,new_exact_routing_clean_sku_days,0.0,0.0,0.0
cutoff_20260621,demand_adjusted_membership_seed_0.25,stable_tier1_membership_clean_sku_days,0.0,0.0,0.0
cutoff_20260621,demand_adjusted_membership_seed_0.25,new_tier1_member_clean_sku_days,-0.13950697411056878,-75.99999999999989,-113.79142588687853
cutoff_20260621,demand_adjusted_membership_seed_0.5,all_holdout,-0.00019114535998299154,-17.0175875820496,-17.0175875820496
cutoff_20260621,demand_adjusted_membership_seed_0.5,clean_bakery_days,0.0,0.0,0.0
cutoff_20260621,demand_adjusted_membership_seed_0.5,clean_sku_days,-0.0005158702210158461,-14.953615889440698,-73.97267213151645
cutoff_20260621,demand_adjusted_membership_seed_0.5,adjusted_pairs_clean_sku_days,0.0011258160139629991,-21.654889218561948,70.23610185309371
cutoff_20260621,demand_adjusted_membership_seed_0.5,stable_routing_clean_sku_days,-0.0005161231730176352,-14.953615889440698,-73.97267213150917
cutoff_20260621,demand_adjusted_membership_seed_0.5,new_exact_routing_clean_sku_days,0.0,0.0,0.0
cutoff_20260621,demand_adjusted_membership_seed_0.5,stable_tier1_membership_clean_sku_days,0.0,0.0,0.0
cutoff_20260621,demand_adjusted_membership_seed_0.5,new_tier1_member_clean_sku_days,-0.15464069820090365,-75.68047689057869,-134.69953313265137
cutoff_20260621,demand_adjusted_membership_seed_1,all_holdout,-0.0002447540281508287,-21.79034380163648,-21.790343801629206
cutoff_20260621,demand_adjusted_membership_seed_1,clean_bakery_days,0.0,0.0,0.0
cutoff_20260621,demand_adjusted_membership_seed_1,clean_sku_days,-0.0006921772017250971,-17.935966906661633,-101.38231644170446
cutoff_20260621,demand_adjusted_membership_seed_1,adjusted_pairs_clean_sku_days,0.001989400167280886,-30.477467068682017,116.32406308718782
cutoff_20260621,demand_adjusted_membership_seed_1,stable_routing_clean_sku_days,-0.0006925166041594766,-17.935966906661633,-101.38231644170446
cutoff_20260621,demand_adjusted_membership_seed_1,new_exact_routing_clean_sku_days,0.0,0.0,0.0
cutoff_20260621,demand_adjusted_membership_seed_1,stable_tier1_membership_clean_sku_days,0.0,0.0,0.0
cutoff_20260621,demand_adjusted_membership_seed_1,new_tier1_member_clean_sku_days,-0.17139050405610545,-74.86041668253426,-158.30676621756993
cutoff_20260628,demand_adjusted_membership_seed_0.02,all_holdout,-0.0001304020189929478,-11.339389555927482,-11.339389555927482
cutoff_20260628,demand_adjusted_membership_seed_0.02,clean_bakery_days,1.0944765493903219e-05,0.11866181769619288,0.1186618176943739
cutoff_20260628,demand_adjusted_membership_seed_0.02,clean_sku_days,-0.00014052765370242692,-10.66504889713542,-13.087964496706263
cutoff_20260628,demand_adjusted_membership_seed_0.02,adjusted_pairs_clean_sku_days,-3.678183199029572e-05,-12.060077294332586,10.35512903608469
cutoff_20260628,demand_adjusted_membership_seed_0.02,stable_routing_clean_sku_days,-0.00014052765370242692,-10.66504889713542,-13.087964496706263
cutoff_20260628,demand_adjusted_membership_seed_0.02,new_exact_routing_clean_sku_days,,0.0,0.0
cutoff_20260628,demand_adjusted_membership_seed_0.02,stable_tier1_membership_clean_sku_days,0.0,0.0,0.0
cutoff_20260628,demand_adjusted_membership_seed_0.02,new_tier1_member_clean_sku_days,-0.014731671970037885,-34.91249489060647,-37.33541049015594
cutoff_20260628,demand_adjusted_membership_seed_0.05,all_holdout,-0.0003061411009045445,-26.621161459275754,-26.621161459290306
cutoff_20260628,demand_adjusted_membership_seed_0.05,clean_bakery_days,2.6752484221681527e-05,0.2900471835037024,0.2900471835055214
cutoff_20260628,demand_adjusted_membership_seed_0.05,clean_sku_days,-0.0003304290247028163,-24.964216166947153,-30.887317980916123
cutoff_20260628,demand_adjusted_membership_seed_0.05,adjusted_pairs_clean_sku_days,-5.028698752118643e-05,-28.385253288292006,26.054300555719237
cutoff_20260628,demand_adjusted_membership_seed_0.05,stable_routing_clean_sku_days,-0.0003304290247028163,-24.964216166947153,-30.887317980916123
cutoff_20260628,demand_adjusted_membership_seed_0.05,new_exact_routing_clean_sku_days,,0.0,0.0
cutoff_20260628,demand_adjusted_membership_seed_0.05,stable_tier1_membership_clean_sku_days,0.0,0.0,0.0
cutoff_20260628,demand_adjusted_membership_seed_0.05,new_tier1_member_clean_sku_days,-0.03288783078314639,-77.68363625954089,-83.60673807351986
cutoff_20260628,demand_adjusted_membership_seed_0.1,all_holdout,-0.0005321069630873643,-46.27051165656303,-46.27051165656303
cutoff_20260628,demand_adjusted_membership_seed_0.1,clean_bakery_days,5.153205127261806e-05,0.5587042387523979,0.5587042387523979
cutoff_20260628,demand_adjusted_membership_seed_0.1,clean_sku_days,-0.0005770226618692087,-43.04741494813061,-54.48518205198343
cutoff_20260628,demand_adjusted_membership_seed_0.1,adjusted_pairs_clean_sku_days,0.00010136669157723155,-49.68436757033123,54.38301782501003
