fold,gain,selected,evaluable,target_wins,win_rate,target_delta_sum
fold_20260621,0,25,25,11,0.44,-69.18925729628064
fold_20260621,2,5,5,0,0.0,7.0426962877184955
fold_20260621,5,2,2,0,0.0,1.4682933374006595
fold_20260621,10,1,1,0,0.0,1.1326171905160436
fold_20260628,0,61,61,28,0.45901639344262296,193.81278542971535
fold_20260628,2,9,9,5,0.5555555555555556,-7.295826173780604
fold_20260628,5,3,3,2,0.6666666666666666,-4.388291133569439
fold_20260628,10,0,0,0,,0.0
fold_20260705,0,85,85,34,0.4,211.7665283199574
fold_20260705,2,21,21,9,0.42857142857142855,105.1361277237625
fold_20260705,5,5,5,2,0.4,62.70467172127961
fold_20260705,10,4,4,1,0.25,66.20802803534417
