bakery_id,stockout_rows,adjusted_rows,observed_demand,imputed_demand,median_imputation,median_imputation_ratio,cap_binding_rows
107,174,172,3326.0,1196.4765440593355,4.5,0.6000000000000001,89
22,128,125,2601.0,988.2489262497735,6.025369320092755,0.5653286227565057,53
222,153,142,1838.0,945.9892214790982,4.872730212392394,0.7464089265695402,82
221,187,180,1610.0,924.8667934248716,3.75,0.75,116
257,154,147,1478.0,802.4982141294162,4.580755841199705,0.6852977913092893,73
89,124,123,1811.0,761.7100194920216,5.025,0.7398076929514172,65
16,96,93,2272.0,629.3053243403951,4.68548697619792,0.44963629612101574,35
28,68,68,2013.0,628.7656423867815,7.499999999999999,0.47567674941092664,29
21,82,82,1387.0,584.556617551427,5.0,0.6065481739361313,42
20,66,65,714.0,452.1586241473649,5.818182734415611,0.75,47
80,64,63,749.0,391.18258943432255,5.282845573859012,0.6836749743656398,30
