product_id,product_name,stockout_rows,adjusted_rows,observed_demand,imputed_demand,median_imputation,median_imputation_ratio,cap_binding_rows
10340,Кыстыбый П,32,32,1524.0,460.49179369616104,14.807683164749662,0.36038961038961037,17
36,Вак-бэлиш,45,45,1001.0,437.96357143354413,7.666666666666667,0.6093727266394052,18
1076,Треугольник говядина безд,34,34,1272.0,427.9270328734441,11.938566762813068,0.4714647660183223,12
34,Беккен капуста,33,33,1032.0,377.1118366337893,10.743589743589745,0.44425805995573714,11
45,Пирожок яблоко,44,44,606.0,372.6618691895603,7.5,0.75,29
10556,Треугольник острый,35,34,878.0,345.33593446450203,10.5,0.36140350877192984,11
1845,Киш грибы курица,50,50,604.0,335.0894222117936,6.556592430582666,0.6395878144868381,24
10760,Пицца с колбасой,37,37,1012.0,320.51537753182396,7.500000000000001,0.3435897435897436,9
10346,Сосиска под шубой,30,30,800.0,307.7579414024943,9.5,0.4305216294849612,6
11474,Маковка,36,33,619.0,292.43079751198593,7.196369751773426,0.5256578947368422,12
1071,Треугольник курица безд,19,19,1763.0,283.7933623119666,14.999999999999996,0.1635549229207736,11
10667,Элеш с курицей,32,32,1082.0,265.82909608767494,7.286383311070223,0.30458086176970084,8
57,Сосиска в тесте,21,21,664.0,264.2185911115376,13.942280674820811,0.3848940106654891,5
4629,Конвертик курица,42,42,544.0,263.5076892128813,6.348769787907607,0.5763684877673805,15
1844,Киш курица,39,38,517.0,238.41729162326234,6.0,0.6046134307976508,15
10909,Корзинка ягодная,39,39,379.0,231.0891298128573,6.155640426214965,0.7499999999999999,25
10298,Пирожок с горбушей,35,34,331.0,206.97208340010607,5.333333333333333,0.7499999999999998,20
4399,Сметанник мини,26,24,521.0,200.74089098299254,8.032078313253013,0.41507321457908297,3
10347,Жар пицца с курицей,20,20,353.0,179.3521848743883,7.541666666666666,0.5405026772895649,4
1745,Шафран творог,24,24,290.0,165.61560898250715,6.226311221500076,0.631698747358883,10
67,Ватрушка,31,30,323.0,162.6494519449688,3.750000000000001,0.75,19
1272,Сэндвич курица,29,27,314.0,161.57368383913092,4.5,0.75,20
108,Сметанник,28,28,412.0,153.3857447701842,4.5,0.4247018987366104,4
100,Губадия,43,43,179.0,143.02332718900504,3.0,0.75,34
10485,ЖарПицца Пикантная,30,30,283.0,137.45950490577377,4.5,0.6887626284354689,14
1722,Губадия мини,29,28,379.0,133.4952138289976,3.5,0.5502646412062915,9
10169,Бейгл курица,30,30,180.0,119.94408615547727,3.817208502730145,0.75,21
101,Капустный,34,32,149.0,113.20351987411348,3.0,0.75,25
11301,Клубника и банан НОВЫЙ,34,33,109.0,104.93701689316883,3.0,1.0,23
10442,ЖарПицца Оригинальная,22,22,204.0,97.6478430026241,4.21966921385952,0.618328516732762,8
11429,Сэндвич Мюнхенский,27,25,137.0,95.45283316267731,3.0,0.75,17
10965,Трехслойник НОВЫЙ,29,28,128.0,93.01139187365774,3.0,0.7500000000000001,23
11251,ЖарПицца с салями,25,23,103.0,78.95361869964161,3.0,0.75,19
110,Яблочный,26,24,99.0,76.66928325590527,3.0,0.75,20
4947,Капуста и курица,25,24,117.0,74.02805591632057,3.0,0.75,19
58,Сочень,9,9,228.0,73.60539480837184,6.598492844242362,0.3539961013645224,2
11473,Сметанник маковый,27,24,61.0,68.97166878499536,3.0,1.5,21
102,Королевская ватрушка,21,21,88.0,62.46304347826087,3.0,0.75,16
107,Капуста и мясо,22,21,77.0,61.20735528215648,3.0,0.75,14
10324,Горбуша саго,20,18,55.0,54.628890662410214,3.0,1.5,13
4424,Жар Киш курица,14,14,68.0,47.07810964960196,3.0,0.75,11
11465,Пирог с Манго,13,13,50.0,45.15198012010714,3.0,1.0,11
4423,Жар Киш грибы курица,16,11,28.0,30.006775301697488,2.4988586185906785,1.070448197611369,7
10426,Пирог Ханский,9,9,25.0,28.5,3.0,1.5,9
1069,Хуплу,3,3,62.0,27.121998223978668,7.5630237410891805,0.37815118705445905,0
4944,Пирожок капуста и курица,5,5,79.0,23.73687592912374,4.7908042327873215,0.2930032589243827,0
11223,Пирог с черносливом и грец орехом,6,6,20.0,18.75,3.0,0.875,6
10662,Хот-дог Датский куриный,6,5,17.0,15.75,3.0,1.0,5
10661,Хот-дог Датский говяжий,5,4,9.0,11.332343241753458,2.9999999999999996,1.4999999999999998,3
1070,Картофель и мясо,3,3,13.0,7.698000551431031,2.6980005514310315,0.6745001378577579,1
10714,Пирог Хуплу,2,2,11.0,7.499999999999999,3.7499999999999996,0.6749999999999999,2
