variant,scope,sku_days,target_qty,predicted_qty,bias_qty,mean_bias,mae,underforecast_qty,overforecast_qty,cutoff
observed_total_observed_profile,all_sku_days_observed_sales,24045,178059.12300000002,179150.14962603123,1091.026626031228,0.0453743658153973,4.990344491406924,59450.90333492414,60541.92996095537,2026-06-21
observed_total_observed_profile,clean_sku_days_observed_sales,23654,172381.123,173230.9046941811,849.7816941811072,0.03592549649873625,4.939433334235091,57993.78719690787,58843.56889108897,2026-06-21
observed_total_observed_profile,adjusted_pairs_clean_sku_days,3515,66077.185,60947.27651565091,-5129.908484349087,-1.4594334237124005,9.903085945075821,19969.627790645303,14839.719306296212,2026-06-21
observed_total_observed_profile,stockout_sku_days_observed_lower_bound,391,5678.0,5919.24493185012,241.2449318501209,0.6169947106141199,8.070274188958221,1457.1161380162716,1698.3610698663929,2026-06-21
observed_total_observed_profile,stockout_sku_days_conservative_target,391,7523.161374317213,5919.24493185012,-1603.9164424670917,-4.102088088151129,10.236286561802183,2803.1522440658723,1199.2358015987809,2026-06-21
observed_total_observed_profile,stockout_sku_days_full_point,391,8128.929260927546,5919.24493185012,-2209.684329077425,-5.651366570530499,11.15499214274287,3285.6431284449436,1075.9587993675188,2026-06-21
conservative_total_observed_profile,all_sku_days_observed_sales,24045,178059.12300000002,179989.64876859804,1930.5257685980307,0.08028803362853111,5.001373229652872,59163.74676920264,61094.27253780067,2026-06-21
conservative_total_observed_profile,clean_sku_days_observed_sales,23654,172381.123,174020.68357484206,1639.5605748420494,0.0693143051848334,4.949942299717309,57723.18729133558,59362.747866177626,2026-06-21
conservative_total_observed_profile,adjusted_pairs_clean_sku_days,3515,66077.185,61265.7281529155,-4811.456847084501,-1.3688355183739689,9.917319975301806,19835.418280135178,15023.961433050677,2026-06-21
conservative_total_observed_profile,stockout_sku_days_observed_lower_bound,391,5678.0,5968.965193755982,290.96519375598183,0.7441565057697745,8.112747185396675,1440.559477867059,1731.5246716230408,2026-06-21
conservative_total_observed_profile,stockout_sku_days_conservative_target,391,7523.161374317213,5968.965193755982,-1554.196180561231,-3.9749262929954754,10.239636031409091,2778.946934421093,1224.7507538598618,2026-06-21
conservative_total_observed_profile,stockout_sku_days_full_point,391,8128.929260927546,5968.965193755982,-2159.9640671715642,-5.5242047753748444,11.154105326094214,3260.609624837201,1100.6455576656365,2026-06-21
observed_total_conservative_profile,all_sku_days_observed_sales,24045,178059.12300000002,179150.14962603123,1091.0266260312274,0.04537436581539727,4.990068227268019,59447.581949314146,60538.60857534537,2026-06-21
observed_total_conservative_profile,clean_sku_days_observed_sales,23654,172381.123,173136.70753491664,755.5845349166356,0.03194320347157502,4.93603061970277,58000.64187176633,58756.22640668297,2026-06-21
observed_total_conservative_profile,adjusted_pairs_clean_sku_days,3518,66077.185,61331.92455541,-4745.260444590002,-1.3488517466145544,9.93822504715584,19853.96808024212,15108.707635652117,2026-06-21
observed_total_conservative_profile,stockout_sku_days_observed_lower_bound,391,5678.0,6013.442091114593,335.4420911145926,0.8579081614183953,8.259136179565795,1446.9400775478166,1782.3821686624092,2026-06-21
observed_total_conservative_profile,stockout_sku_days_conservative_target,391,7523.161374317213,6013.442091114593,-1509.7192832026196,-3.861174637346853,10.407458914299983,2789.5178593469564,1279.7985761443365,2026-06-21
observed_total_conservative_profile,stockout_sku_days_full_point,391,8128.929260927546,6013.442091114593,-2115.4871698129537,-5.410453119726224,11.321894277189951,3271.1739160971124,1155.6867462841592,2026-06-21
conservative_total_conservative_profile,all_sku_days_observed_sales,24045,178059.12300000002,179989.64876859804,1930.5257685980305,0.08028803362853111,5.000999188896237,59159.24986420599,61089.77563280401,2026-06-21
conservative_total_conservative_profile,clean_sku_days_observed_sales,23654,172381.123,173925.03001975134,1543.9070197513286,0.06527044135247013,4.946451974014749,57729.73398679677,59273.6410065481,2026-06-21
conservative_total_conservative_profile,adjusted_pairs_clean_sku_days,3518,66077.185,61651.67579056787,-4425.509209432133,-1.25796168545541,9.95279972313891,19719.72931771741,15294.220108285277,2026-06-21
conservative_total_conservative_profile,stockout_sku_days_observed_lower_bound,391,5678.0,6064.618748846702,386.6187488467023,0.9887947540836376,8.30089642881107,1429.515877409213,1816.1346262559155,2026-06-21
conservative_total_conservative_profile,stockout_sku_days_conservative_target,391,7523.161374317213,6064.618748846702,-1458.5426254705103,-3.730288044681612,10.417099573226883,2765.8142793011107,1307.2716538306001,2026-06-21
conservative_total_conservative_profile,stockout_sku_days_full_point,391,8128.929260927546,6064.618748846702,-2064.310512080844,-5.279566527060982,11.322539774480243,3245.7117819513096,1181.401269870466,2026-06-21
conservative_total_guarded_profile,all_sku_days_observed_sales,24045,178059.12300000002,179989.64876859804,1930.525768598031,0.08028803362853112,4.993568209385981,59069.91091304395,61000.43668164198,2026-06-21
conservative_total_guarded_profile,clean_sku_days_observed_sales,23654,172381.123,173936.30180507724,1555.1788050772461,0.06574696901484933,4.938866395255006,57634.38345414232,59189.56225921956,2026-06-21
conservative_total_guarded_profile,adjusted_pairs_clean_sku_days,3515,66077.185,61465.495816525305,-4611.689183474691,-1.3120026126528281,9.91654146993537,19734.166225148754,15122.477041674065,2026-06-21
conservative_total_guarded_profile,stockout_sku_days_observed_lower_bound,391,5678.0,6053.346963520784,375.34696352078436,0.9599666586209319,8.30281811080317,1435.5274589016276,1810.8744224224117,2026-06-21
conservative_total_guarded_profile,stockout_sku_days_conservative_target,391,7523.161374317213,6053.346963520784,-1469.814410796428,-3.759116140144317,10.429856308635548,2773.944113736464,1304.1297029400353,2026-06-21
conservative_total_guarded_profile,stockout_sku_days_full_point,391,8128.929260927546,6053.346963520784,-2075.582297406762,-5.3083946225236875,11.344325603320668,3255.606804152572,1180.02450674581,2026-06-21
observed_total_observed_profile,all_sku_days_observed_sales,21575,173850.86000000002,170099.0864220704,-3751.773577929569,-0.17389448796892557,6.564446732787423,72689.8559189091,68938.08234097954,2026-07-05
observed_total_observed_profile,clean_sku_days_observed_sales,21186,167924.86000000002,163640.06536539597,-4284.794634604008,-0.2022465134807896,6.473991170468557,70721.38578607544,66436.59115147141,2026-07-05
observed_total_observed_profile,adjusted_pairs_clean_sku_days,4184,75163.0,85380.30552384898,10217.305523848985,2.441994628070981,13.501775316690923,23137.061200592918,33354.366724441905,2026-07-05
observed_total_observed_profile,stockout_sku_days_observed_lower_bound,389,5926.0,6459.021056674437,533.0210566744378,1.370234078854596,11.490903142266859,1968.4701328336853,2501.491189508123,2026-07-05
observed_total_observed_profile,stockout_sku_days_conservative_target,389,7756.665946739336,6459.021056674437,-1297.6448900648973,-3.3358480464393248,13.475262859540925,3269.761071213158,1972.1161811482614,2026-07-05
observed_total_observed_profile,stockout_sku_days_full_point,389,8417.85903447962,6459.021056674437,-1958.8379778051822,-5.035573207725404,14.234569115111537,3748.042681791785,1789.204703986603,2026-07-05
conservative_total_observed_profile,all_sku_days_observed_sales,21575,173850.86000000002,170925.75283475168,-2925.1071652483242,-0.13557854763607527,6.592786145924349,72582.23413178309,69657.12696653476,2026-07-05
conservative_total_observed_profile,clean_sku_days_observed_sales,21186,167924.86000000002,164423.26078618958,-3501.599213810412,-0.16527892069340186,6.501214285740992,70618.16253575955,67116.56332194913,2026-07-05
conservative_total_observed_profile,adjusted_pairs_clean_sku_days,4184,75163.0,85877.84968696823,10714.849686968222,2.560910537038294,13.591133986388487,23075.2274560406,33790.07714300882,2026-07-05
conservative_total_observed_profile,stockout_sku_days_observed_lower_bound,389,5926.0,6502.492048562088,576.4920485620878,1.4819847006737477,11.58003917894393,1964.0715960235502,2540.563644585638,2026-07-05
conservative_total_observed_profile,stockout_sku_days_conservative_target,389,7756.665946739336,6502.492048562088,-1254.173898177247,-3.2240974246201723,13.543985272397357,3261.3920845699095,2007.2181863926628,2026-07-05
