cutoff,variant,stockout_sku_days,observed_sales,conservative_target,predicted_demand,baseline_predicted_demand,delivered_uplift_vs_baseline,total_prediction_delta,baseline_gap_to_conservative_target,delivered_share_of_reconstructed_gap,stockout_share_of_total_prediction_delta
2026-06-21,conservative_total_conservative_profile,391,5678.0,7523.161374317213,6064.618748846702,5919.244931850121,145.3738169965809,839.4991425668019,1603.9164424670917,0.0906367770461731,0.17316732040022662
2026-06-21,conservative_total_guarded_profile,391,5678.0,7523.161374317213,6053.346963520784,5919.244931850121,134.10203167066265,839.4991425668019,1603.9164424670917,0.08360911336777077,0.1597405224984988
2026-06-21,conservative_total_observed_profile,391,5678.0,7523.161374317213,5968.965193755982,5919.244931850121,49.72026190586075,839.4991425668024,1603.9164424670917,0.030999284370065237,0.059226102070621595
2026-06-21,observed_total_conservative_profile,391,5678.0,7523.161374317213,6013.442091114593,5919.244931850121,94.19715926447134,-3.268496584496461e-13,1603.9164424670917,0.05872946792638422,-288197208806272.0
2026-06-21,observed_total_observed_profile,391,5678.0,7523.161374317213,5919.244931850121,5919.244931850121,0.0,0.0,1603.9164424670917,0.0,
2026-07-05,conservative_total_conservative_profile,389,5926.0,7756.665946739335,6912.213754803404,6459.021056674438,453.1926981289662,826.6664126812445,1297.6448900648966,0.3492424634803606,0.5482171419775747
2026-07-05,conservative_total_guarded_profile,389,5926.0,7756.665946739335,6813.429811994258,6459.021056674438,354.40875531981965,826.6664126812441,1297.6448900648966,0.27311690434976804,0.42872040025228025
2026-07-05,conservative_total_observed_profile,389,5926.0,7756.665946739335,6502.492048562088,6459.021056674438,43.47099188764969,826.6664126812445,1297.6448900648966,0.033499913744102716,0.052585893439959716
2026-07-05,observed_total_conservative_profile,389,5926.0,7756.665946739335,6867.172395285857,6459.021056674438,408.1513386114193,4.547473508864641e-13,1297.6448900648966,0.3145323822690869,897534285391190.0
2026-07-05,observed_total_observed_profile,389,5926.0,7756.665946739335,6459.021056674438,6459.021056674438,0.0,0.0,1297.6448900648966,0.0,
