variant,scope,cutoffs,abs_bias_wins,mae_wins,mean_bias_qty_delta,mean_abs_bias_delta,mean_mae_delta,mean_underforecast_qty_delta,mean_overforecast_qty_delta
conservative_total_conservative_profile,adjusted_pairs_clean_sku_days,2,1,0,1248.1414089159566,543.7421339990019,0.09169916840169545,-441.68298319961286,806.4584257163433
conservative_total_conservative_profile,all_sku_days_conservative_demand,2,2,1,833.0827776240228,-747.7183833432048,-9.362488995723339e-05,-411.4809609994263,421.6018166245849
conservative_total_conservative_profile,all_sku_days_full_reconstructed_demand,2,2,1,833.0827776240221,-833.0827776240221,-0.0004484510977347256,-415.44290804539924,417.6398695786338
conservative_total_conservative_profile,all_sku_days_observed_sales,2,1,1,833.0827776240233,6.4163649427785,0.0015434929056130642,-393.3153651736102,439.76741245041194
conservative_total_conservative_profile,clean_sku_days_observed_sales,2,1,1,533.7995200612501,160.32580550897103,-0.0045383158906071586,-310.6655188949553,223.13400116629055
conservative_total_conservative_profile,stockout_sku_days_conservative_target,2,2,0,299.2832575627739,-299.2832575627739,0.2505695638622063,-100.8154421044751,198.46781545829833
conservative_total_conservative_profile,stockout_sku_days_full_point,2,2,0,299.28325756277366,-299.28325756277366,0.23023375740400454,-104.77738915043938,194.50586841233428
conservative_total_conservative_profile,stockout_sku_days_observed_lower_bound,2,0,0,299.2832575627739,299.2832575627739,0.34383789914040985,-82.64984627865056,216.63341128412299
conservative_total_guarded_profile,adjusted_pairs_clean_sku_days,2,1,0,1014.8279594015903,496.60865852719417,0.022422600325425535,-462.6853793832761,552.1425800183124
conservative_total_guarded_profile,all_sku_days_conservative_demand,2,2,1,833.0827776240227,-747.7183833432049,-0.019548650770857545,-625.8937920536118,207.18898557041393
conservative_total_guarded_profile,all_sku_days_full_reconstructed_demand,2,2,1,833.0827776240222,-833.0827776240222,-0.019797738656464503,-628.6241784181548,204.45859920587463
conservative_total_guarded_profile,all_sku_days_observed_sales,2,1,1,833.0827776240229,6.416364942779069,-0.018048806714843657,-609.3181647044657,223.76461291955275
conservative_total_guarded_profile,clean_sku_days_observed_sales,2,1,2,588.8273841287818,116.56972676735757,-0.021542349616624712,-523.0365168523094,65.7908672764679
conservative_total_guarded_profile,stockout_sku_days_conservative_target,2,2,0,244.25539349524183,-244.25539349524183,0.09857910885810917,-102.85727520130172,141.39811829393966
conservative_total_guarded_profile,stockout_sku_days_full_point,2,2,1,244.2553934952416,-244.2553934952416,0.08455202288685193,-105.5876615658392,138.66773192940218
conservative_total_guarded_profile,stockout_sku_days_observed_lower_bound,2,0,0,244.25539349524183,244.25539349524183,0.18370065261973423,-86.28164785215995,157.97374564308132
conservative_total_observed_profile,adjusted_pairs_clean_sku_days,2,1,0,407.99790019191187,89.54626292732519,0.0517136346765561,-98.02162753121775,309.9762726606905
conservative_total_observed_profile,all_sku_days_conservative_demand,2,2,0,833.0827776240233,-747.7183833432052,0.01917654781913658,-203.19872608809965,629.8840515359188
conservative_total_observed_profile,all_sku_days_full_reconstructed_demand,2,2,0,833.0827776240234,-833.0827776240234,0.019149297458857184,-203.53526371683256,629.5475139072005
conservative_total_observed_profile,all_sku_days_observed_sales,2,1,0,833.0827776240237,6.4163649427785,0.01967856263808665,-197.38917642376327,635.6936012002625
conservative_total_observed_profile,clean_sku_days_observed_sales,2,1,0,786.4871507272684,3.291729933673764,0.018860656103680817,-186.91157794409082,599.5755727831784
conservative_total_observed_profile,stockout_sku_days_conservative_target,2,2,0,46.59562689675545,-46.59562689675545,0.03603594123167042,-16.287148144014054,30.308478752741166
conservative_total_observed_profile,stockout_sku_days_full_point,2,2,1,46.59562689675545,-46.59562689675545,0.03431656084299206,-16.623685772740146,29.971941124015075
conservative_total_observed_profile,stockout_sku_days_observed_lower_bound,2,0,0,46.595626896755476,46.595626896755476,0.06580451655776187,-10.477598479673816,36.118028417081405
observed_total_conservative_profile,adjusted_pairs_clean_sku_days,2,1,0,834.3928271634368,449.744787404351,0.03780459217120313,-345.2969270563972,489.09590010703414
observed_total_conservative_profile,all_sku_days_conservative_demand,2,0,2,-1.1368683772161603e-13,1.1368683772161603e-13,-0.019560899692145473,-211.42940744912266,-211.42940744911903
observed_total_conservative_profile,all_sku_days_full_reconstructed_demand,2,0,2,-2.2737367544323206e-13,2.2737367544323206e-13,-0.019834807233072294,-214.42796296233428,-214.42796296231973
observed_total_conservative_profile,all_sku_days_observed_sales,2,1,2,-2.2737367544323206e-13,-2.2737367544323206e-13,-0.01833136541413083,-197.98412175174963,-197.984121751746
observed_total_conservative_profile,clean_sku_days_observed_sales,2,1,2,-251.17424893794538,156.97708967347393,-0.023557969627806763,-126.14146898328909,-377.31571792124305
observed_total_conservative_profile,stockout_sku_days_conservative_target,2,2,0,251.17424893794572,-251.17424893794572,0.20675372661644165,-85.28793846582607,165.88631047211902
observed_total_conservative_profile,stockout_sku_days_full_point,2,2,0,251.17424893794532,-251.17424893794532,0.1913479661836499,-88.2864939790295,162.88775495891616
observed_total_conservative_profile,stockout_sku_days_observed_lower_bound,2,0,0,251.17424893794555,251.17424893794555,0.27583568485969234,-71.84265276845883,179.3315961694866
