bakery_id,bakery_name,cases,case_weeks,allocation_cases,allocation_weeks,demand_loss_cases,demand_loss_weeks,uncertain_cases,imputed_demand,baseline_shortfall,shortfall_reduction,cases_improved,cases_worsened,median_bakery_ratio,recurrent_demand_loss,recurrent_allocation
107,Четаева 46А Казань,49.0,7.0,14.0,3.0,10.0,5.0,25.0,65.19524041319072,149.05873149554594,22.432800215321134,10.0,0.0,0.8696894423531472,True,True
222,Габдуллы Тукая 62А Казань,39.0,7.0,20.0,6.0,5.0,3.0,14.0,27.0,127.03508464730838,4.1816166231728005,4.0,0.0,0.9154053696681076,True,True
80,Калинина 63 Казань,25.0,7.0,8.0,5.0,5.0,3.0,12.0,20.61793131289877,61.416131839567015,8.865109813697373,5.0,0.0,0.878011329880258,True,True
221,Салиха Батыева 15 Казань,71.0,7.0,51.0,7.0,4.0,2.0,16.0,22.75,238.3739273216654,17.41365183133905,4.0,0.0,0.9839209651228,True,True
21,Парковая 7 Казань,33.0,7.0,21.0,7.0,1.0,1.0,11.0,1.0,153.56442349975367,1.0,1.0,0.0,0.9615716540169644,False,True
20,Мира 45 Дербышки Казань,22.0,7.0,16.0,6.0,1.0,1.0,5.0,3.75,68.75809039099909,1.8069057465091918,1.0,0.0,1.0187305351223626,False,True
22,Сибирский Тракт 25 Казань,40.0,7.0,32.0,7.0,0.0,0.0,8.0,0.0,178.77053543305223,0.0,0.0,0.0,1.0488407752020947,False,True
16,Кулагина 4 Казань,31.0,7.0,28.0,6.0,0.0,0.0,3.0,0.0,124.03839988875978,0.0,0.0,0.0,1.0154061163772496,False,True
257,Ярмарочная 12 Чебоксары,41.0,7.0,27.0,6.0,0.0,0.0,14.0,0.0,248.4711794009435,0.0,0.0,0.0,0.9739355615380038,False,True
89,Парина 6 Казань,33.0,7.0,7.0,4.0,0.0,0.0,26.0,0.0,92.12693116363504,0.0,0.0,0.0,0.8694239496859729,False,True
28,Гудованцева 27 Казань,13.0,6.0,7.0,3.0,0.0,0.0,6.0,0.0,67.67129661537135,0.0,0.0,0.0,0.9806904622586308,False,True
