date,cases,allocation_cases,demand_loss_cases,uncertain_cases,adjusted_cases,imputed_demand,baseline_shortfall,shadow_shortfall,shortfall_reduction,shortfall_reduction_ratio,cases_fixed,cases_improved,cases_worsened,median_bakery_ratio
2026-06-01,7,7,0,0,0,0.0,53.43784031582202,53.43784031582202,0.0,0.0,0,0,0,1.1509091195801435
2026-06-02,4,0,1,3,1,3.0,8.34890197007602,7.78790234409263,0.5609996259833898,0.06719442005596836,1,1,0,0.9158423961617125
2026-06-03,7,7,0,0,0,0.0,24.540069076776447,24.540069076776447,0.0,0.0,0,0,0,1.0774481855824172
2026-06-04,5,4,0,1,0,0.0,29.36576273209517,29.36576273209517,0.0,0.0,0,0,0,1.0261044277569882
2026-06-05,7,6,0,1,0,0.0,18.66294142715042,18.66294142715042,0.0,0.0,0,0,0,1.0532146962204822
2026-06-06,8,4,0,4,0,0.0,43.86182804155128,43.86182804155128,0.0,0.0,0,0,0,0.9277518618816616
2026-06-07,3,0,0,3,0,0.0,16.993488284443437,16.993488284443437,0.0,0.0,0,0,0,0.8980679235972063
2026-06-08,7,6,0,1,0,0.0,29.169283958084925,29.169283958084925,0.0,0.0,0,0,0,0.9373627112122525
2026-06-09,11,5,2,4,2,8.25,22.783150560701166,17.82933293931286,4.953817621388308,0.21743338824847105,2,2,0,0.883558653401502
2026-06-10,1,0,0,1,0,0.0,5.049965542143024,5.049965542143024,0.0,0.0,0,0,0,0.8985639122768505
2026-06-11,9,3,0,6,0,0.0,16.075043742887292,16.075043742887292,0.0,0.0,0,0,0,0.908340096698784
2026-06-12,7,1,4,2,4,22.75,97.06665440240263,80.17049133954613,16.896163062856512,0.17406763596498584,3,4,0,0.785637719477394
2026-06-13,5,0,2,3,2,4.75,29.332782853598268,24.582782853598268,4.75,0.1619348571087695,1,2,0,0.8082784425303037
2026-06-14,14,6,0,8,0,0.0,31.020186978150452,31.020186978150452,0.0,0.0,0,0,0,0.9421501940526495
2026-06-15,7,3,0,4,0,0.0,16.674537316138906,16.674537316138906,0.0,0.0,0,0,0,0.9074710980971644
2026-06-16,9,4,1,4,1,5.999999999999998,31.95229961386764,31.221251224489084,0.7310483893785564,0.022879367000592146,1,1,0,0.9174397031539888
2026-06-17,8,2,0,6,0,0.0,46.48427979729355,46.48427979729355,0.0,0.0,0,0,0,0.8990482257908481
2026-06-18,3,2,0,1,0,0.0,8.619643094615434,8.619643094615434,0.0,0.0,0,0,0,1.0638297872340423
2026-06-19,6,4,1,1,1,6.0599896865868335,31.632081056346475,28.985746558511334,2.6463344978351406,0.08365982918168438,1,1,0,0.9652234476403232
2026-06-20,14,10,0,4,0,0.0,70.31494523491368,70.31494523491368,0.0,0.0,0,0,0,0.9895646605445311
2026-06-21,8,6,0,2,0,0.0,33.15467399523509,33.15467399523509,0.0,0.0,0,0,0,1.0328800936946188
2026-06-22,13,12,0,1,0,0.0,74.241747117107,74.241747117107,0.0,0.0,0,0,0,1.0383989586723072
2026-06-23,7,0,1,6,1,3.0,18.05602475442138,16.477921472705713,1.5781032817156664,0.08740037207410431,1,1,0,0.8745552217086736
2026-06-24,12,10,0,2,0,0.0,27.4849033040942,27.4849033040942,0.0,0.0,0,0,0,1.0447090639806071
2026-06-25,10,6,0,4,0,0.0,19.59242127322473,19.59242127322473,0.0,0.0,0,0,0,0.9963902783445602
2026-06-26,7,5,0,2,0,0.0,17.751991125467633,17.751991125467633,0.0,0.0,0,0,0,1.046634804257723
2026-06-27,12,11,0,1,0,0.0,25.53583932133546,25.53583932133546,0.0,0.0,0,0,0,1.0879236329311974
2026-06-28,9,1,3,5,3,11.117931312898769,33.63481947085182,27.821303762898417,5.813515707953399,0.17284218555094177,3,3,0,0.8491296508887026
2026-06-29,12,8,0,4,0,0.0,39.62396862341702,39.62396862341702,0.0,0.0,0,0,0,0.9841656162477704
2026-06-30,9,7,0,2,0,0.0,22.91549582293169,22.91549582293169,0.0,0.0,0,0,0,0.9536129054091516
2026-07-01,8,6,0,2,0,0.0,31.482835319143494,31.482835319143494,0.0,0.0,0,0,0,0.9609669522186808
2026-07-02,11,3,5,3,5,34.06155159722547,20.332341651460396,11.392497267822296,8.939844383638096,0.43968592191131023,5,5,0,0.8892186180765537
2026-07-03,8,5,0,3,0,0.0,38.42873528257678,38.42873528257678,0.0,0.0,0,0,0,1.0723662651363504
2026-07-04,17,9,0,8,0,0.0,41.913729309038544,41.913729309038544,0.0,0.0,0,0,0,0.9395842516460876
2026-07-05,8,2,3,3,3,23.32369912937842,20.435393825429315,14.070082180017991,6.365311645411322,0.31148465744225,3,3,0,0.8666794705034897
2026-07-06,7,2,2,3,1,15.0,14.073914055608945,12.769508884671215,1.3044051709377307,0.09268247381529801,1,1,0,0.9501391184996528
2026-07-07,8,5,0,3,0,0.0,36.40519918518953,36.40519918518953,0.0,0.0,0,0,0,0.9658712039480832
2026-07-08,6,5,0,1,0,0.0,28.75188870598334,28.75188870598334,0.0,0.0,0,0,0,0.9698894404855467
2026-07-09,6,2,0,4,0,0.0,23.067949042614295,23.067949042614295,0.0,0.0,0,0,0,0.8946205415307557
2026-07-10,3,2,0,1,0,0.0,3.222379810427787,3.222379810427787,0.0,0.0,0,0,0,0.9806904622586308
2026-07-11,8,7,0,1,0,0.0,42.43135045866544,42.43135045866544,0.0,0.0,0,0,0,1.0191391683409077
2026-07-12,9,4,0,5,0,0.0,16.986360182212824,16.986360182212824,0.0,0.0,0,0,0,0.9470777339868948
2026-07-13,12,3,0,9,0,0.0,40.631616920126405,40.631616920126405,0.0,0.0,0,0,0,0.93561007905705
2026-07-14,5,5,0,0,0,0.0,19.765643146465308,19.765643146465308,0.0,0.0,0,0,0,1.1005686433793664
2026-07-15,10,8,0,2,0,0.0,25.798322763203558,25.798322763203558,0.0,0.0,0,0,0,0.9909536084881632
2026-07-16,4,2,1,1,1,3.0,22.107460290577276,20.946919447635853,1.160540842941424,0.0524954394438548,1,1,0,0.9100811515212845
2026-07-17,5,5,0,0,0,0.0,63.53268244166641,63.53268244166641,0.0,0.0,0,0,0,0.9486737512083778
2026-07-18,11,7,0,4,0,0.0,33.539582663529345,33.539582663529345,0.0,0.0,0,0,0,0.9993568690830102
2026-07-19,10,9,0,1,0,0.0,42.99977583553817,42.99977583553817,0.0,0.0,0,0,0,0.9823403808685555
