product_id,product_name,cases,case_weeks,allocation_cases,allocation_weeks,demand_loss_cases,demand_loss_weeks,uncertain_cases,imputed_demand,baseline_shortfall,shortfall_reduction,cases_improved,cases_worsened,median_bakery_ratio,recurrent_demand_loss,recurrent_allocation
11474,Маковка,24.0,7.0,8.0,6.0,4.0,4.0,12.0,16.4279209994856,115.65337797986543,8.7500159958378,3.0,0.0,0.9043396016606372,True,True
100,Губадия,21.0,6.0,8.0,4.0,4.0,3.0,9.0,10.75,44.466866013058755,6.471540468924815,4.0,0.0,0.894987611968744,True,True
11301,Клубника и банан НОВЫЙ,22.0,6.0,9.0,5.0,3.0,3.0,10.0,9.0,40.6253903982868,3.519656076184003,3.0,0.0,0.9308782029041229,True,True
4424,Жар Киш курица,6.0,4.0,4.0,3.0,2.0,2.0,0.0,6.0,8.64552434611742,2.742736184032683,2.0,0.0,0.9067106387716202,True,True
1845,Киш грибы курица,19.0,7.0,15.0,7.0,1.0,1.0,3.0,7.5,44.71278000507822,1.8014568266742508,1.0,0.0,0.9841656162477704,False,True
11473,Сметанник маковый,17.0,7.0,12.0,6.0,1.0,1.0,4.0,3.0000000000000004,28.336193457241578,2.0,1.0,0.0,0.9752232878725684,False,True
10965,Трехслойник НОВЫЙ,14.0,7.0,9.0,6.0,1.0,1.0,4.0,3.75,27.502154161261522,1.8069057465091918,1.0,0.0,1.0028491424064754,False,True
4947,Капуста и курица,18.0,6.0,7.0,4.0,1.0,1.0,10.0,3.0,79.0,1.0,1.0,0.0,0.9331531017763832,False,True
10667,Элеш с курицей,10.0,6.0,6.0,3.0,1.0,1.0,3.0,12.073699129378417,69.69954857379722,2.7569490722278793,1.0,0.0,0.9803205602632463,False,True
108,Сметанник,8.0,5.0,6.0,4.0,1.0,1.0,1.0,4.25,23.599889853468618,2.154124121288107,1.0,0.0,1.0315955404217192,False,True
1844,Киш курица,6.0,5.0,4.0,4.0,1.0,1.0,1.0,14.06155159722547,47.86611702650813,2.752873138022398,1.0,0.0,1.0196978140292887,False,True
10909,Корзинка ягодная,10.0,6.0,3.0,1.0,1.0,1.0,6.0,7.499999999999998,34.546436356489934,1.6322661514741004,1.0,0.0,0.9069846409724791,False,False
10556,Треугольник острый,5.0,5.0,3.0,3.0,1.0,1.0,1.0,15.0,12.706082779247602,1.3044051709377307,1.0,0.0,0.9633982949535772,False,True
107,Капуста и мясо,6.0,5.0,2.0,2.0,1.0,1.0,3.0,3.0,10.658562624065492,1.5781032817156664,1.0,0.0,0.9203937351214114,False,True
