normal_ratio,loss_ratio,substitution_threshold,allocation,demand_loss,mixed,uncertain
0.9,0.8,0.25,280,26,0,91
0.9,0.8,0.5,280,26,0,91
0.9,0.8,0.75,280,26,0,91
0.9,0.85,0.25,280,57,0,60
0.9,0.85,0.5,280,57,0,60
0.9,0.85,0.75,280,57,0,60
0.95,0.8,0.25,240,26,0,131
0.95,0.8,0.5,240,26,0,131
0.95,0.8,0.75,240,26,0,131
0.95,0.85,0.25,240,57,0,100
0.95,0.85,0.5,240,57,0,100
0.95,0.85,0.75,240,57,0,100
0.95,0.9,0.25,240,100,0,57
0.95,0.9,0.5,240,100,0,57
0.95,0.9,0.75,240,100,0,57
1.0,0.8,0.25,231,26,0,140
1.0,0.8,0.5,231,26,0,140
1.0,0.8,0.75,231,26,0,140
1.0,0.85,0.25,231,57,0,109
1.0,0.85,0.5,231,57,0,109
1.0,0.85,0.75,231,57,0,109
1.0,0.9,0.25,231,100,0,66
1.0,0.9,0.5,231,100,0,66
1.0,0.9,0.75,231,100,0,66
