product_id,product_name,strict_usable_surplus
1071,Треугольник курица безд,1366.0
1076,Треугольник говядина безд,882.0
57,Сосиска в тесте,692.0
34,Беккен капуста,649.0
10347,Жар пицца с курицей,545.0
10667,Элеш с курицей,531.0
10556,Треугольник острый,528.0
10760,Пицца с колбасой,517.0
10346,Сосиска под шубой,511.0
10909,Корзинка ягодная,503.0
4629,Конвертик курица,503.0
45,Пирожок яблоко,488.0
36,Вак-бэлиш,485.0
1844,Киш курица,437.0
10298,Пирожок с горбушей,417.0
4399,Сметанник мини,411.0
1745,Шафран творог,379.0
10340,Кыстыбый П,365.0
11474,Маковка,344.0
67,Ватрушка,332.0
1845,Киш грибы курица,303.0
108,Сметанник,295.0
1272,Сэндвич курица,155.0
10442,ЖарПицца Оригинальная,134.0
10485,ЖарПицца Пикантная,132.0
107,Капуста и мясо,121.0
10169,Бейгл курица,116.0
102,Королевская ватрушка,114.0
11223,Пирог с черносливом и грец орехом,111.0
4424,Жар Киш курица,109.0
101,Капустный,105.0
11473,Сметанник маковый,101.0
11251,ЖарПицца с салями,93.0
110,Яблочный,91.0
4947,Капуста и курица,85.0
4423,Жар Киш грибы курица,82.0
10324,Горбуша саго,81.0
11465,Пирог с Манго,69.0
11429,Сэндвич Мюнхенский,54.0
10426,Пирог Ханский,46.0
4944,Пирожок капуста и курица,36.0
1069,Хуплу,32.0
10714,Пирог Хуплу,21.0
10661,Хот-дог Датский говяжий,7.0
10662,Хот-дог Датский куриный,7.0
1070,Картофель и мясо,7.0
1722,Губадия мини,0.0
100,Губадия,0.0
58,Сочень,0.0
10541,Пицца Семейная,0.0
10542,Пицца с колбасками ЧБ,0.0
10965,Трехслойник НОВЫЙ,0.0
11428,Трубочка со сгущенкой П,0.0
11301,Клубника и банан НОВЫЙ,0.0
