date,bakery_id,bakery_name,product_id,product_name,category_name,dow,hourly_sold,daily_sold,qty_produced,stock_balance,is_inventory_stockout,is_reliable_inventory_stockout,balance_consistent,hourly_daily_sales_agree,last_sale_hour,normal_days,normal_daily_sold,normal_last_hour,bakery_sales_after_last,last_hour_gap,is_strong_temporal_stockout,stockout_group,forecast_qty,latest_generated_at,has_forecast,bias_qty,forecast_to_sales_ratio,bias_pct_of_sales,source_run_id,run_generated_at,city,assortment_asof,bakeable_asof,current_profile_present,cause
2026-06-01,16,Кулагина 4 Казань,11473,Сметанник маковый,Пироги сладкие,0,2.0,2.0,2.0,0.0,True,True,True,True,10.0,6.0,0.5,15.0,1499.015,5.0,True,clear_stockout,0.0,,False,-2.0,0.0,-100.0,backfill_base_bakery_no_sku_uplift_20260601_h1,2026-07-01 12:41:27.017000+00:00,Казань,False,False,True,excluded_by_assortment_asof
2026-06-02,22,Сибирский Тракт 25 Казань,4947,Капуста и курица,Пироги сытные,1,4.0,4.0,4.0,0.0,True,True,True,True,9.0,3.0,3.0,16.0,1219.023,7.0,True,clear_stockout,0.0,,False,-4.0,0.0,-100.0,backfill_base_bakery_no_sku_uplift_20260602_h1,2026-07-01 12:41:52.074000+00:00,Казань,False,False,True,excluded_by_assortment_asof
2026-06-03,22,Сибирский Тракт 25 Казань,4947,Капуста и курица,Пироги сытные,2,4.0,4.0,4.0,0.0,True,True,True,True,9.0,3.0,2.0,18.0,1267.236,9.0,True,clear_stockout,0.0,,False,-4.0,0.0,-100.0,backfill_base_bakery_no_sku_uplift_20260603_h1,2026-07-01 12:42:20.875000+00:00,Казань,False,False,True,excluded_by_assortment_asof
2026-06-03,221,Салиха Батыева 15 Казань,4423,Жар Киш грибы курица,Пироги сытные,2,1.0,1.0,2.0,1.0,True,True,True,True,12.0,3.0,0.0,20.0,550.114,8.0,True,clear_stockout,0.0,,False,-1.0,0.0,-100.0,backfill_base_bakery_no_sku_uplift_20260603_h1,2026-07-01 12:42:20.875000+00:00,Казань,False,False,True,excluded_by_assortment_asof
2026-06-03,257,Ярмарочная 12 Чебоксары,10485,ЖарПицца Пикантная,Фастфуд,2,11.0,11.0,12.0,1.0,True,True,True,True,18.0,3.0,28.0,20.0,123.882,2.0,True,clear_stockout,0.0,,False,-11.0,0.0,-100.0,backfill_base_bakery_no_sku_uplift_20260603_h1,2026-07-01 12:42:20.875000+00:00,Чебоксары,False,False,True,excluded_by_assortment_asof
2026-06-04,221,Салиха Батыева 15 Казань,4423,Жар Киш грибы курица,Пироги сытные,3,1.0,0.0,1.0,1.0,True,True,True,True,6.0,5.0,1.0,12.0,840.601,6.0,True,clear_stockout,0.0,,False,0.0,,,backfill_base_bakery_no_sku_uplift_20260604_h1,2026-07-01 12:42:52.844000+00:00,Казань,False,False,True,excluded_by_assortment_asof
2026-06-06,221,Салиха Батыева 15 Казань,4423,Жар Киш грибы курица,Пироги сытные,5,2.0,2.0,2.0,0.0,True,True,True,True,14.0,7.0,0.0,17.5,255.452,3.5,True,clear_stockout,0.0,,False,-2.0,0.0,-100.0,backfill_base_bakery_no_sku_uplift_20260606_h1,2026-07-01 12:45:50.281000+00:00,Казань,False,False,True,excluded_by_assortment_asof
2026-06-07,22,Сибирский Тракт 25 Казань,11301,Клубника и банан НОВЫЙ,Пироги сладкие,6,2.0,2.0,3.0,1.0,True,True,True,True,11.0,8.0,2.0,18.0,512.609,7.0,True,clear_stockout,0.0,,False,-2.0,0.0,-100.0,backfill_base_bakery_no_sku_uplift_20260607_h1,2026-07-01 12:47:26.704000+00:00,Казань,False,False,True,excluded_by_assortment_asof
2026-06-07,257,Ярмарочная 12 Чебоксары,4944,Пирожок капуста и курица,Выпечка сытная,6,11.0,11.0,11.0,0.0,True,True,True,True,16.0,3.0,16.0,20.0,151.57,4.0,True,clear_stockout,0.0,,False,-11.0,0.0,-100.0,backfill_base_bakery_no_sku_uplift_20260607_h1,2026-07-01 12:47:26.704000+00:00,Чебоксары,False,False,True,excluded_by_assortment_asof
2026-06-08,257,Ярмарочная 12 Чебоксары,10169,Бейгл курица,Фастфуд,0,6.0,6.0,6.0,0.0,True,True,True,True,16.0,4.0,9.0,18.5,260.133,2.5,True,clear_stockout,0.0,,False,-6.0,0.0,-100.0,backfill_base_bakery_no_sku_uplift_20260608_h1,2026-07-01 12:49:01.346000+00:00,Чебоксары,False,False,True,excluded_by_assortment_asof
2026-06-09,107,Четаева 46А Казань,11473,Сметанник маковый,Пироги сладкие,1,2.0,2.0,3.0,1.0,True,True,True,True,9.0,6.0,1.5,13.0,1080.912,4.0,True,clear_stockout,0.0,,False,-2.0,0.0,-100.0,backfill_base_bakery_no_sku_uplift_20260609_h1,2026-07-01 12:50:39.814000+00:00,Казань,False,False,True,excluded_by_assortment_asof
2026-06-11,221,Салиха Батыева 15 Казань,4947,Капуста и курица,Пироги сытные,3,2.0,2.0,2.0,0.0,True,True,True,True,11.0,3.0,2.0,14.5,602.088,3.5,True,clear_stockout,0.0,,False,-2.0,0.0,-100.0,backfill_base_bakery_no_sku_uplift_20260611_h1,2026-07-01 12:53:57.052000+00:00,Казань,False,False,True,excluded_by_assortment_asof
2026-06-12,221,Салиха Батыева 15 Казань,4947,Капуста и курица,Пироги сытные,4,1.0,1.0,2.0,1.0,True,True,True,True,15.0,4.0,0.5,17.5,222.816,2.5,True,clear_stockout,0.0,,False,-1.0,0.0,-100.0,backfill_base_bakery_no_sku_uplift_20260612_h1,2026-07-01 12:55:37.586000+00:00,Казань,False,False,True,excluded_by_assortment_asof
