Пекарня,demand_units,sold_units,lost_units,demand_rub,sold_rub,lost_rub,abs_err_units,abs_err_rub,sku_count,test_rows,wmape_pct,capture_pct,err_value_pct,demand_rub_norm,abs_err_rub_norm,lost_rub_norm,priority_score
Ильича 19/43 Казань,17589.9,16099.7,1490.2,1810919.728633731,1625886.3875145316,185033.34111919926,4670.09,494950.3610754016,163,959,26.54983825945571,91.52809282599674,27.331435692559523,1.0,1.0,0.9057760728944408,0.9858664109341662
Парина 6 Казань,15051.26,13822.8,1228.46,1786770.173209394,1643470.8052980034,143299.3679113908,3463.02,433112.2754420672,182,1130,23.00817340209391,91.83815840002764,24.239954412497916,0.9866644804612313,0.8750620456181183,0.701479732949422,0.9048259161393704
Баумана 29/11 Казань,15242.77,14045.7,1197.07,1430564.6903102663,1270794.608666993,159770.08164327338,4134.96,436053.0860971571,156,975,27.127352836787537,92.14663738939839,30.48118613934084,0.7899658210635169,0.8810036730748602,0.7821072474913684,0.8206502832316648
Айдарова 8А корп 1 Казань,13053.06,11452.5,1600.56,1386919.0760102463,1194614.6710669429,192304.4049433035,3314.24,410464.6409438117,152,852,25.390521456271554,87.73804763021084,29.59542831616365,0.7658644688004053,0.8293046600713173,0.9413694183776167,0.8143942781818061
Кулагина 4 Казань,14494.97,13512.5,982.47,1480314.3598715984,1327899.8520500239,152414.5078215747,3146.98,380086.60554070486,157,942,21.710841760969497,93.2219935605248,25.67607366679016,0.817437866773056,0.7679287367623554,0.7461002082745205,0.7894090224945305
Татарстан 16 Казань,14719.97,12926.6,1793.37,1358121.5432580537,1166387.3902153792,191734.1530426745,3980.6,382647.3648038561,149,915,27.042174678345134,87.81675506132146,28.174751126170015,0.7499623101917963,0.7731025066280596,0.9385779186187727,0.7863537202085349
Татарстан 53А Казань,14219.01,12718.5,1500.51,1371205.0493625305,1192173.5837910972,179031.46557143336,3621.59,371971.6779250152,155,908,25.47005733873174,89.44715560366016,27.127356196503495,0.7571870954197687,0.7515332994541415,0.8763956637704742,0.773089552084405
Баки Урманче 6 Казань,13161.12,12456.4,704.72,1417061.6767329995,1296591.9010500158,120469.77568298369,3145.57,395620.9720552737,167,968,23.900473515931775,94.64544050962228,27.91840175703347,0.7825093814633727,0.7993144427568245,0.5897242067866704,0.7594733767145755
Шамиля Усманова 47 Наб Челны,13629.75,12812.4,817.35,1444487.4956247595,1328148.064637841,116339.43098691852,2913.42,350977.68161859916,144,851,21.375447091839543,94.00319154790073,24.29773069560542,0.7976540720082439,0.7091169321626792,0.569505324201114,0.7324437608912268
Хади Такташ 105 Казань,12911.75,11449.6,1462.15,1236838.5763043375,1063752.0729885784,173086.5033157593,3374.78,341607.179619139,140,847,26.13727806068116,88.67581853737875,27.619382687743954,0.6829891776801639,0.6901847265590699,0.8472938568589229,0.7101533216645948
Четаева 46А Казань,11248.03,10029.2,1218.83,1162094.2656633283,992598.4920230738,169495.77364025448,3358.9900000000002,366288.16817729233,168,995,29.862918217679006,89.16405806172281,31.519660581769887,0.6417149514076385,0.7400503100582472,0.8297165002342642,0.7043325592593453
Сармановский тракт 18/38А Наб Челны,12767.46,11747.2,1020.26,1310631.2018393157,1167151.8795294517,143479.3223098638,2883.66,332454.38181610394,141,893,22.58601162643157,92.00890388534604,25.365974909611765,0.7237378781157442,0.6716923715213883,0.7023606465586292,0.7023153660741523
Сибирский Тракт 25 Казань,11884.16,10387.1,1497.06,1170270.0224533472,984120.5957510972,186149.42670225,3081.36,326200.8460887054,144,866,25.928294469276754,87.40289595562497,27.873981203488395,0.6462296500222409,0.6590576989982464,0.9112395402366782,0.6904709506960084
Энгельса 30 Зеленодольск,11820.9,10248.4,1572.5,1141485.929652179,953200.7427378395,188285.18691433928,2844.06,311727.19992709375,143,815,24.05958937136766,86.69729039244051,27.308895522004363,0.6303349130297377,0.6298150773135909,0.9216945235702181,0.6738569121101583
Фучика 96 Казань,13071.66,11701.1,1370.56,1221731.4684862478,1045117.2581704744,176614.21031577326,2729.52,281383.2021821255,135,825,20.88120407048531,89.51502716563925,23.031509741724623,0.674646948270864,0.5685079238466483,0.8645627045891082,0.6659856531701251
Восстания 117 Казань,11346.61,10179.2,1167.41,1130169.265019309,973075.8786197007,157093.3863996082,2991.96,334292.8963229441,156,915,26.36875683574213,89.71137634941185,29.579011451637083,0.6240857875417692,0.6754069147391072,0.769004276472862,0.6637859554005014
Ямашева 19А Казань,12771.33,11684.4,1086.93,1211654.8238176059,1078904.6377237951,132750.1860938106,2957.23,323202.11073237774,148,831,23.155223457541226,91.4892967294714,26.67443766815147,0.6690825687407761,0.6529990402070655,0.6498393290028612,0.6605668477932902
Зорге 101 Казань,12442.25,11142.9,1299.35,1219868.3778650477,1060481.036206304,159387.34165874336,2584.57,291950.5238167747,148,881,20.77252908436979,89.55695312343025,23.932952859039748,0.6736181392122728,0.5898581893797193,0.7802336569371993,0.660294484429618
Губкина 17 Казань,11191.09,9691.4,1499.69,1069687.7494246045,894601.5702256481,175086.17919895652,3046.2200000000003,297854.6781161016,129,790,27.220047376975792,86.59924993901397,27.845011619168353,0.5906875564449466,0.6017869700487518,0.8570826795521114,0.6345316196723532
Халтурина 8/20 Казань,11967.02,10157.5,1809.52,1085680.23686087,899944.0248710583,185736.2119898117,2835.91,280123.4509569099,144,842,23.69771254664904,84.87910941905336,25.8016533272133,0.5995186974300477,0.5659627166414682,0.9092167696525733,0.6342288149874238
Урицкого 27 Казань,10866.13,9893.3,972.83,1068856.8201956416,924436.7775877865,144420.04260785502,2706.38,302768.41562357044,153,859,24.90656747158372,91.04713453639889,28.326377294215355,0.5902287126785309,0.6117147080481595,0.7069656649410063,0.6152593538972723
