Пекарня,Номенклатура,MAE,RMSE,R2,Дней_данных,Размер_обучения,Размер_теста
Губкина 17 Казань,Шафран творог,47.0714,93.6094,-0.1271,176,169,7
Баумана 29/11 Казань,Треугольник курица безд,44.9514,48.8432,-4.3121,176,169,7
Ильича 19/43 Казань,Пакет звезды,44.38,45.5402,-0.4665,176,169,7
Баки Урманче 6 Казань,Треугольник курица безд,43.28,55.1413,0.1181,176,169,7
Татарстан 53А Казань,Кыстыбый П,41.8771,52.2075,0.1181,175,168,7
Ильича 19/43 Казань,Треугольник курица безд,41.32,50.078,-1.9533,176,169,7
Магистральный проезд 18 Курск,Пирожок с повидлом,37.1357,46.3223,-0.2001,115,108,7
Державина 9б Сокуры,Треугольник говядина безд,35.3629,41.7034,-1.7579,176,169,7
Баумана 29/11 Казань,Треугольник говядина безд,34.9371,40.0385,-2.0935,176,169,7
Хади Такташ 105 Казань,Треугольник курица безд,34.6614,42.1554,-0.2403,176,169,7
Татарстан 16 Казань,Сочень,31.2114,41.7149,-0.1726,175,168,7
Ильича 19/43 Казань,Пакет спасибо,30.8033,33.8014,-0.0979,110,107,3
Ямашева 19А Казань,Треугольник курица безд,30.7486,36.5502,-0.2864,176,169,7
Энергетиков 3 Казань,Картошка ассорти,30.25,30.25,,47,46,1
Четаева 46А Казань,Треугольник курица безд,30.1843,35.7592,-0.3068,176,169,7
Баумана 29/11 Казань,Пирожок яблоко пост,30.125,30.125,-3629.0674,2,0,2
Даурская 27Б Казань,Треугольник курица безд,29.47,32.5155,0.1444,176,169,7
Татарстан 16 Казань,Треугольник курица безд,29.1686,35.1286,0.4373,176,169,7
Баумана 29/11 Казань,Элеш с курицей,28.0929,34.7257,-1.7733,176,169,7
Татарстан 53А Казань,Треугольник курица безд,27.2586,34.1388,-0.4339,176,169,7
Горького 51 Чебоксары,Сосиска в тесте,26.8557,28.4728,-12.717,176,169,7
Строителей 30 Зеленодольск,Треугольник курица безд,26.46,30.9349,-0.9034,176,169,7
Халтурина 8/20 Казань,Беккен капуста,26.0814,30.1118,-0.1219,176,169,7
Белинского 9/6 Казань,Треугольник курица безд,25.8129,30.447,-0.0318,176,169,7
Рауиса Гареева 96 Казань,Графские развалины,25.33,25.33,,70,69,1
Баумана 29/11 Казань,Губадия мини,25.1943,28.6351,-0.7467,176,169,7
Сибирский Тракт 25 Казань,Кыстыбый П,25.1014,29.7231,0.3814,176,169,7
Декабристов 8 Казань,Треугольник курица безд,24.9414,31.5462,-2.7719,176,169,7
Даурская 27Б Казань,Пакет спасибо,24.9286,29.2592,-0.1214,176,169,7
Кулагина 4 Казань,Треугольник курица безд,24.87,35.6446,0.5675,176,169,7
Строителей 10Е Нижнекамск,Треугольник говядина безд,24.7057,27.3008,-0.1091,175,168,7
Татарстан 53А Казань,Треугольник говядина безд,24.3171,29.3971,-0.0483,176,169,7
Магистральный проезд 18 Курск,Пир с повидлом пост К,24.312,43.543,-0.2963,5,0,5
Ершова 32 Казань,Треугольник курица безд,24.01,26.9492,0.0943,176,169,7
Сибирский Тракт 25 Казань,Треугольник курица безд,23.7271,32.1472,0.3555,176,169,7
Парковая 7 Казань,Треугольник курица безд,23.72,26.0258,-0.033,176,169,7
Хади Такташ 73 Казань,Треугольник курица безд,23.6071,30.8818,-0.3897,176,169,7
Сумская 19 Курск,Пирожок с повидлом,23.3029,48.8096,-0.2574,85,78,7
Фучика 96 Казань,Треугольник курица безд,23.29,27.7237,0.2765,176,169,7
Космонавтов 26 Казань,Треугольник курица безд,22.7743,26.1756,-0.2638,176,169,7
Лаврентьева 9 Казань,Кыстыбый П,22.58,26.0835,-0.3803,175,168,7
Беломорская 6 Казань,Треугольник курица безд,22.54,29.4609,-0.0839,176,169,7
Татарстан 16 Казань,Треугольник говядина безд,22.4757,29.1647,0.1516,176,169,7
Татарстан 16 Казань,Сосиска под шубой,22.2986,23.2424,0.4451,176,169,7
Губкина 17 Казань,Пакет спасибо,22.128,23.1521,0.3703,160,155,5
Фучика 72 Казань,Треугольник курица безд,22.0971,27.4479,0.4412,176,169,7
Максимова 50 Казань,Треугольник курица безд,22.0443,28.0175,-0.4057,170,163,7
Вишневского 8/35 Казань,Треугольник говядина безд,21.6986,29.822,0.0446,176,169,7
Сыртлановой 16 Казань,Треугольник курица безд,21.5743,31.388,0.1536,176,169,7
Айдарова 8А корп 1 Казань,Треугольник говядина безд,21.5229,24.4264,-1.5177,176,169,7
Фучика 30 Казань,Треугольник курица безд,21.44,36.1285,-0.2806,176,169,7
Татарстан 16 Казань,Сосиска в тесте,21.1214,23.2633,-0.0098,176,169,7
Карла Маркса 54 Зеленодольск,Треугольник говядина безд,20.805,23.7857,-0.8538,171,165,6
Восстания 117 Казань,Пицца с колбасой,20.7543,24.4909,-2.527,172,165,7
Вишневского 8/35 Казань,Кыстыбый П,20.74,25.1343,0.2347,171,164,7
Хади Такташ 105 Казань,Пакет спасибо,20.7283,23.2403,0.0483,170,164,6
Чулман 9 Нижнекамск,Треугольник курица безд,20.4314,26.9291,0.0713,176,169,7
Мусина 68 Казань,Кыстыбый П,20.2371,23.5181,-0.9955,171,164,7
Яраткан 1 Казань,Треугольник говядина безд,20.1914,23.8478,0.0143,162,155,7
Парина 6 Казань,Пакет звезды,20.156,38.6538,-0.2108,43,38,5
Амирхана 17 Казань,Кыстыбый П,20.1143,24.6654,-0.0544,176,169,7
Ильича 19/43 Казань,Кыстыбый П,19.9886,27.1372,-0.4875,175,168,7
Фучика 105А Казань,Треугольник курица безд,19.8743,21.1951,-0.0744,176,169,7
Нефтяников 21А Заинск,Треугольник курица безд,19.8586,22.7038,0.2345,176,169,7
Арсланова 13 Казань,Пакет спасибо,19.8257,22.3343,-2.4051,166,159,7
Сармановский тракт 18/38А Наб Челны,Треугольник говядина безд,19.7,26.9592,0.08,176,169,7
Кулагина 4 Казань,Кыстыбый П,19.6929,30.5495,-0.1929,176,169,7
Ямашева 19А Казань,Треугольник говядина безд,19.5157,28.674,-0.9626,176,169,7
Вахитова 20 Наб Челны,Кыстыбый П,19.42,23.4203,0.5647,159,152,7
Строителей 10Е Нижнекамск,Треугольник курица безд,19.4043,22.8148,0.672,175,168,7
Ильича 19/43 Казань,Треугольник острый,19.1943,25.0495,-1.0363,176,169,7
Хади Такташ 105 Казань,Кыстыбый П,19.1514,22.6957,0.2058,176,169,7
Проспект Победы 46В Казань,Треугольник курица безд,19.1414,22.3157,-0.476,176,169,7
Карла Маркса 54 Зеленодольск,Треугольник курица безд,19.1329,21.7276,0.0492,176,169,7
Восстания 117 Казань,Кыстыбый П,19.0029,24.161,0.1818,175,168,7
Гудованцева 27 Казань,Треугольник курица безд,18.8071,25.7398,0.0941,176,169,7
Кулахметова 19Б Казань,Треугольник курица безд,18.6829,21.305,-0.3925,176,169,7
Гудованцева 27 Казань,Кыстыбый П,18.5686,20.2575,0.1873,176,169,7
2-я юго-западная 30 Казань,Кыстыбый П,18.4614,22.1873,-0.1159,176,169,7
Татарстан 16 Казань,Пирожок зеленый лук,18.4543,24.5662,-0.7071,49,42,7
Сахарова 27 Казань,Треугольник курица безд,18.3243,24.6419,0.3067,176,169,7
Фучика 72 Казань,Пакет спасибо,18.1729,22.668,0.1358,140,133,7
Юности 12 Нижнекамск,Треугольник курица безд,18.1,21.2635,0.2563,176,169,7
Губкина 17 Казань,Пакет звезды,18.03,19.5298,0.0747,168,161,7
Бигичева 16А Казань,Треугольник курица безд,17.9514,22.6124,-0.0855,176,169,7
Губкина 17 Казань,Треугольник курица безд,17.8643,20.4014,-0.0116,176,169,7
Сибирский Тракт 25 Казань,Шафран творог,17.8571,25.762,-0.2278,176,169,7
Мира 7 Казань,Пирожок яблоко,17.7414,27.8936,-0.3584,32,25,7
Ямашева 19А Казань,Элеш с курицей,17.7171,19.7614,-0.2024,176,169,7
Шамиля Усманова 16А Казань,Кыстыбый П,17.7,21.2502,0.4657,176,169,7
Олимпийская 5 Казань,Треугольник курица безд,17.6657,21.3011,-0.1279,176,169,7
Ленина 70 Зеленодольск,Треугольник курица безд,17.6214,20.0833,-0.1718,176,169,7
Адоратского 31Б Казань,Беккен капуста,17.6186,19.8423,-0.0774,176,169,7
Губкина 17 Казань,Вак-бэлиш,17.5429,35.0877,-0.0034,176,169,7
Тэцевская 4Д Казань,Кыстыбый П,17.4743,18.7984,-0.0134,175,168,7
Ленина 55А Бугульма,Пакет звезды,17.45,21.7243,-1.5992,62,60,2
Ильича 19/43 Казань,Беккен капуста,17.4086,20.724,-1.1237,176,169,7
Лаврентьева 9 Казань,Треугольник курица безд,17.3686,18.674,0.0821,176,169,7
Карла Маркса 54 Зеленодольск,Сметанник мини,17.2457,28.4735,-0.3302,172,165,7
Маршальская 25 Казань,Кыстыбый П,17.2371,21.4129,-0.3208,176,169,7
Маршальская 25 Казань,Треугольник курица безд,17.2086,21.8725,-0.1598,176,169,7
Четаева 46А Казань,Сосиска под шубой,17.16,19.1133,-0.3625,173,166,7
Ершова 32 Казань,Беккен капуста,17.1029,20.1256,-0.2918,176,169,7
Вишневского 8/35 Казань,Треугольник курица безд,17.0686,27.097,0.4306,176,169,7
Державина 9б Сокуры,Элеш с курицей,17.03,22.3505,-0.5635,176,169,7
Декабристов 150 Казань,Кыстыбый П,16.99,21.4115,-0.4684,175,168,7
Ильича 19/43 Казань,Треугольник говядина безд,16.9829,20.5284,-0.511,176,169,7
Парина 6 Казань,Треугольник курица безд,16.9614,21.1507,0.257,176,169,7
Сююмбике 74а Наб Челны,Московская плюшка П,16.95,36.1984,-0.2062,170,163,7
Парина 6 Казань,Пицца Мясная кусок,16.9257,17.8166,-0.2714,171,164,7
Чуйкова 5 Казань,Треугольник курица безд,16.8829,20.2526,-0.2432,176,169,7
Энгельса 30 Зеленодольск,Треугольник говядина безд,16.8557,18.1488,0.0395,176,169,7
Урицкого 27 Казань,Треугольник курица безд,16.8543,28.3586,-0.178,176,169,7
Школьная 14А Васильево,Треугольник курица безд,16.8086,23.1817,-0.3298,176,169,7
Фучика 96 Казань,Треугольник острый,16.7714,20.6467,0.4328,176,169,7
Чуйкова 40 Казань,Кыстыбый П,16.7214,18.5871,-0.1509,176,169,7
Фучика 96 Казань,Пакет звезды,16.6857,23.8757,0.1442,117,110,7
Калинина 32 Казань,Они гири с креветкой,16.626,18.1205,-0.6047,104,99,5
Б. Хмельницкого 109/3 Чебоксары,Сосиска в тесте,16.6043,19.7765,0.2515,176,169,7
Калинина 32 Казань,ЖарПицца Оригинальная,16.5929,19.1322,0.7527,174,167,7
Парина 6 Казань,Пакет спасибо,16.37,17.7628,0.6185,176,169,7
Баки Урманче 6 Казань,Пакет звезды,16.345,17.396,-0.7621,162,160,2
Татарстан 16 Казань,Элеш с курицей,16.2629,19.3109,0.5612,176,169,7
Фрунзе 9 Казань,Кыстыбый П,16.23,18.7139,-0.4276,176,169,7
Восстания 117 Казань,Вак-бэлиш,16.2186,17.9064,0.1194,176,169,7
Хади Такташ 105 Казань,Пакет звезды,16.1614,18.9418,0.183,175,168,7
Б. Хмельницкого 109/3 Чебоксары,Хуплу,16.16,20.0004,0.2751,176,169,7
Амирхана 17 Казань,Треугольник курица безд,16.1386,18.6917,0.3927,176,169,7
Химиков 15В Нижнекамск,Треугольник курица безд,16.1043,18.9545,-0.6639,176,169,7
Ершова 32 Казань,Треугольник острый,16.04,16.9306,-1.659,174,167,7
Белинского 1/3 Казань,Треугольник курица безд,16.0143,18.5655,0.0529,106,99,7
Энгельса 30 Зеленодольск,Треугольник курица безд,16.0057,18.5332,-0.4512,176,169,7
Четаева 46А Казань,Пакет спасибо,15.9643,22.5998,-0.2975,166,159,7
Хади Такташ 73 Казань,Элеш с курицей,15.9471,18.1443,-2.351,176,169,7
Фрунзе 9 Казань,Треугольник курица безд,15.8643,21.0549,-0.5597,176,169,7
Можайского 2/37 Казань,Треугольник курица безд,15.8214,19.948,0.147,176,169,7
Кайманова 16 Нижнекамск,Булочка шведский стол,15.82,19.8905,-0.1375,167,160,7
Адоратского 31Б Казань,Треугольник курица безд,15.8143,18.8223,0.1221,176,169,7
Баумана 29/11 Казань,Беккен капуста пост,15.78,16.4968,-9.8858,2,0,2
Химиков 15В Нижнекамск,Треугольник говядина безд,15.72,18.9116,-1.1352,176,169,7
Победы 139к3 ЖК Победа Казань,Треугольник острый,15.7033,16.1286,-40.8069,3,0,3
Яраткан 1 Казань,Сочень,15.6914,17.7322,-0.5323,158,151,7
